episode_id,role,crop,first_record_step,planted_day
112706103,self,MELON,8,0
112706103,opp,MELON,8,0
112706103,opp,WHEAT,14,0
112706103,self,STRAWBERRY,134,5
112706103,opp,STRAWBERRY,134,5
112706103,self,TOMATO,437,18
112706103,opp,TOMATO,437,18
112706103,self,CARROT,592,24
112706103,opp,CARROT,592,24
112707248,self,WHEAT,6,0
112707248,self,MELON,8,0
112707248,opp,MELON,8,0
112707248,opp,WHEAT,14,0
112707248,self,STRAWBERRY,134,5
112707248,opp,STRAWBERRY,134,5
112707248,self,CARROT,592,24
112707248,opp,CARROT,592,24
112708388,self,WHEAT,6,0
112708388,self,MELON,8,0
112708388,opp,MELON,8,0
112708388,opp,WHEAT,14,0
112708388,self,STRAWBERRY,134,5
112708388,opp,STRAWBERRY,134,5
112708388,self,TOMATO,437,18
112708388,opp,TOMATO,437,18
112708388,self,CARROT,592,24
112708388,opp,CARROT,592,24
112709526,self,WHEAT,6,0
112709526,self,MELON,8,0
112709526,opp,MELON,8,0
112709526,opp,WHEAT,14,0
112709526,self,STRAWBERRY,134,5
112709526,opp,STRAWBERRY,134,5
112709526,self,CARROT,359,14
112709526,opp,CARROT,424,17
112709526,self,TOMATO,437,18
112709526,opp,TOMATO,437,18
112710679,self,WHEAT,6,0
112710679,opp,WHEAT,6,0
112710679,self,MELON,8,0
112710679,opp,MELON,8,0
112710679,self,STRAWBERRY,134,5
112710679,opp,STRAWBERRY,134,5
112710679,self,TOMATO,437,18
112710679,opp,TOMATO,437,18
112710679,self,CARROT,592,24
112710679,opp,CARROT,592,24
112711880,self,WHEAT,6,0
112711880,opp,WHEAT,6,0
112711880,self,MELON,8,0
112711880,opp,MELON,8,0
112711880,self,STRAWBERRY,134,5
112711880,opp,STRAWBERRY,134,5
112711880,self,CARROT,488,20
112711880,opp,CARROT,488,20
112713015,self,WHEAT,6,0
112713015,opp,WHEAT,6,0
112713015,self,MELON,8,0
112713015,opp,MELON,8,0
112713015,self,STRAWBERRY,134,5
112713015,opp,STRAWBERRY,134,5
112713015,self,CARROT,569,23
112713015,opp,CARROT,569,23
112713547,self,WHEAT,6,0
112713547,opp,WHEAT,6,0
112713547,self,MELON,8,0
112713547,opp,MELON,8,0
112713547,self,STRAWBERRY,134,5
112713547,opp,STRAWBERRY,134,5
112713547,self,CARROT,607,25
112713547,opp,CARROT,607,25
112714306,self,WHEAT,6,0
112714306,opp,WHEAT,6,0
112714306,self,MELON,8,0
112714306,opp,MELON,8,0
112714306,self,STRAWBERRY,134,5
112714306,opp,STRAWBERRY,134,5
112714306,self,CARROT,453,18
112714306,opp,CARROT,503,20
112715478,self,WHEAT,6,0
112715478,opp,WHEAT,6,0
112715478,self,MELON,8,0
112715478,opp,MELON,8,0
112715478,self,STRAWBERRY,134,5
112715478,opp,STRAWBERRY,134,5
112715478,self,CARROT,607,25
112715478,opp,CARROT,607,25
112715910,self,WHEAT,6,0
112715910,opp,WHEAT,6,0
112715910,self,MELON,8,0
112715910,opp,MELON,8,0
112715910,self,STRAWBERRY,134,5
112715910,opp,STRAWBERRY,134,5
112715910,self,CARROT,501,20
112715910,opp,CARROT,501,20
112716679,self,WHEAT,6,0
112716679,opp,WHEAT,6,0
112716679,self,MELON,8,0
112716679,opp,MELON,8,0
112716679,self,STRAWBERRY,134,5
112716679,opp,STRAWBERRY,134,5
112716679,self,CARROT,567,23
112716679,opp,CARROT,567,23
112716680,self,WHEAT,6,0
112716680,opp,WHEAT,6,0
112716680,self,MELON,8,0
112716680,opp,MELON,8,0
112716680,self,STRAWBERRY,134,5
112716680,opp,STRAWBERRY,134,5
112716680,self,CARROT,592,24
112716680,opp,CARROT,592,24
112717862,self,WHEAT,6,0
112717862,opp,WHEAT,6,0
112717862,self,MELON,8,0
112717862,opp,MELON,8,0
112717862,self,STRAWBERRY,134,5
112717862,opp,STRAWBERRY,134,5
112717862,self,CARROT,607,25
112717862,opp,CARROT,607,25
112719043,self,WHEAT,6,0
112719043,opp,WHEAT,6,0
112719043,self,MELON,8,0
112719043,opp,MELON,8,0
112719043,self,STRAWBERRY,134,5
112719043,opp,STRAWBERRY,134,5
112719043,self,CARROT,424,17
112719043,opp,CARROT,501,20
112720203,self,WHEAT,6,0
112720203,opp,WHEAT,6,0
112720203,self,MELON,8,0
112720203,opp,MELON,8,0
112720203,self,STRAWBERRY,134,5
112720203,opp,STRAWBERRY,134,5
112720203,self,TOMATO,437,18
112720203,opp,TOMATO,437,18
112720203,self,CARROT,592,24
112720203,opp,CARROT,592,24
112721366,self,WHEAT,6,0
112721366,opp,WHEAT,6,0
112721366,self,MELON,8,0
112721366,opp,MELON,8,0
112721366,self,STRAWBERRY,134,5
112721366,opp,STRAWBERRY,134,5
112721366,self,TOMATO,437,18
112721366,opp,TOMATO,437,18
112721366,self,CARROT,501,20
112721366,opp,CARROT,501,20
112722513,self,WHEAT,6,0
112722513,opp,WHEAT,6,0
112722513,self,MELON,8,0
112722513,opp,MELON,8,0
112722513,self,STRAWBERRY,134,5
112722513,opp,STRAWBERRY,134,5
112722513,self,CARROT,161,6
112722513,opp,CARROT,161,6
112723670,self,WHEAT,6,0
112723670,opp,WHEAT,6,0
112723670,self,MELON,8,0
112723670,opp,MELON,8,0
112723670,self,STRAWBERRY,134,5
112723670,opp,STRAWBERRY,134,5
112723670,self,CARROT,592,24
112723670,opp,CARROT,592,24
112724829,self,WHEAT,6,0
112724829,opp,WHEAT,6,0
112724829,self,MELON,8,0
112724829,opp,MELON,8,0
112724829,self,STRAWBERRY,134,5
112724829,opp,STRAWBERRY,134,5
112724829,self,TOMATO,437,18
112724829,opp,TOMATO,437,18
112724829,self,CARROT,592,24
112724829,opp,CARROT,592,24
112726090,self,WHEAT,6,0
112726090,self,MELON,8,0
112726090,opp,MELON,8,0
112726090,opp,WHEAT,14,0
112726090,self,STRAWBERRY,134,5
112726090,opp,STRAWBERRY,134,5
112726090,self,CARROT,592,24
112726090,opp,CARROT,592,24
112727153,self,WHEAT,6,0
112727153,opp,WHEAT,6,0
112727153,self,MELON,8,0
112727153,opp,MELON,8,0
112727153,self,STRAWBERRY,134,5
112727153,opp,STRAWBERRY,134,5
112727153,self,CARROT,607,25
112727153,opp,CARROT,607,25
112728327,self,WHEAT,6,0
112728327,opp,WHEAT,6,0
112728327,self,MELON,8,0
112728327,opp,MELON,8,0
112728327,self,STRAWBERRY,134,5
112728327,opp,STRAWBERRY,134,5
112728327,self,CARROT,188,7
112728327,opp,CARROT,501,20
112728524,self,WHEAT,6,0
112728524,opp,WHEAT,6,0
112728524,self,MELON,8,0
112728524,opp,MELON,8,0
112728524,self,STRAWBERRY,134,5
112728524,opp,STRAWBERRY,134,5
112728524,self,TOMATO,437,18
112728524,opp,TOMATO,437,18
112728524,self,CARROT,567,23
112728524,opp,CARROT,592,24
112729476,self,WHEAT,6,0
112729476,self,MELON,8,0
112729476,opp,MELON,8,0
112729476,opp,WHEAT,14,0
112729476,self,STRAWBERRY,134,5
112729476,opp,STRAWBERRY,134,5
112729476,self,CARROT,592,24
112729476,opp,CARROT,592,24
112730657,self,WHEAT,6,0
112730657,opp,WHEAT,6,0
112730657,self,MELON,8,0
112730657,opp,MELON,8,0
112730657,self,STRAWBERRY,134,5
112730657,opp,STRAWBERRY,134,5
112730657,self,CARROT,157,6
112730657,opp,CARROT,607,25
112731810,self,WHEAT,6,0
112731810,opp,WHEAT,6,0
112731810,self,MELON,8,0
112731810,opp,MELON,8,0
112731810,self,STRAWBERRY,134,5
112731810,opp,STRAWBERRY,134,5
112731810,self,CARROT,592,24
112731810,opp,CARROT,592,24
112732949,self,WHEAT,6,0
112732949,opp,WHEAT,6,0
112732949,self,MELON,8,0
112732949,opp,MELON,8,0
112732949,self,STRAWBERRY,134,5
112732949,opp,STRAWBERRY,134,5
112732949,self,CARROT,161,6
112732949,opp,CARROT,607,25
112734114,self,WHEAT,6,0
112734114,opp,WHEAT,6,0
112734114,self,MELON,8,0
112734114,opp,MELON,8,0
112734114,self,STRAWBERRY,134,5
112734114,opp,STRAWBERRY,134,5
112734114,self,CARROT,592,24
112734114,opp,CARROT,592,24
112735281,self,WHEAT,6,0
112735281,opp,WHEAT,6,0
112735281,self,MELON,8,0
112735281,opp,MELON,8,0
112735281,self,STRAWBERRY,134,5
112735281,opp,STRAWBERRY,134,5
112735281,self,CARROT,453,18
112735281,opp,CARROT,501,20
112736426,self,WHEAT,6,0
112736426,opp,WHEAT,6,0
112736426,self,MELON,8,0
112736426,opp,MELON,8,0
112736426,self,STRAWBERRY,134,5
112736426,opp,STRAWBERRY,134,5
112736426,self,CARROT,592,24
112736426,opp,CARROT,592,24
112737645,self,WHEAT,6,0
112737645,opp,WHEAT,6,0
112737645,self,MELON,8,0
112737645,opp,MELON,8,0
112737645,self,STRAWBERRY,134,5
112737645,opp,STRAWBERRY,134,5
112737645,self,CARROT,592,24
112737645,opp,CARROT,592,24
112738825,self,WHEAT,6,0
112738825,opp,WHEAT,6,0
112738825,self,MELON,8,0
112738825,opp,MELON,8,0
112738825,self,STRAWBERRY,134,5
112738825,opp,STRAWBERRY,134,5
112738825,self,CARROT,592,24
112738825,opp,CARROT,592,24
112739509,self,WHEAT,6,0
112739509,opp,WHEAT,6,0
112739509,self,MELON,8,0
112739509,opp,MELON,8,0
112739509,self,STRAWBERRY,134,5
112739509,opp,STRAWBERRY,134,5
112739509,self,CARROT,607,25
112739509,opp,CARROT,607,25
112739956,self,WHEAT,6,0
112739956,opp,WHEAT,6,0
112739956,self,MELON,8,0
112739956,opp,MELON,8,0
112739956,self,STRAWBERRY,134,5
112739956,opp,STRAWBERRY,134,5
112739956,self,CARROT,592,24
112739956,opp,CARROT,592,24
112741280,self,WHEAT,6,0
112741280,self,MELON,8,0
112741280,opp,MELON,8,0
112741280,opp,WHEAT,14,0
112741280,self,STRAWBERRY,134,5
112741280,opp,STRAWBERRY,134,5
112741280,self,CARROT,592,24
112741280,opp,CARROT,592,24
112742461,self,WHEAT,6,0
112742461,opp,WHEAT,6,0
112742461,self,MELON,8,0
112742461,opp,MELON,8,0
112742461,self,STRAWBERRY,134,5
112742461,opp,STRAWBERRY,134,5
112742461,self,CARROT,161,6
112742461,opp,CARROT,464,19
112742491,self,WHEAT,6,0
112742491,self,MELON,8,0
112742491,opp,MELON,8,0
112742491,opp,WHEAT,14,0
112742491,self,STRAWBERRY,134,5
112742491,opp,STRAWBERRY,134,5
112742491,self,CARROT,592,24
112742491,opp,CARROT,592,24
112743618,self,WHEAT,6,0
112743618,opp,WHEAT,6,0
112743618,self,MELON,8,0
112743618,opp,MELON,8,0
112743618,self,STRAWBERRY,134,5
112743618,opp,STRAWBERRY,134,5
112743618,self,TOMATO,437,18
112743618,opp,TOMATO,437,18
112743618,self,CARROT,501,20
112743618,opp,CARROT,519,21
112744949,self,WHEAT,6,0
112744949,opp,WHEAT,6,0
112744949,self,MELON,8,0
112744949,opp,MELON,8,0
112744949,self,STRAWBERRY,134,5
112744949,opp,STRAWBERRY,134,5
112744949,self,CARROT,161,6
112744949,opp,CARROT,607,25
112745961,self,WHEAT,6,0
112745961,opp,WHEAT,6,0
112745961,self,MELON,8,0
112745961,opp,MELON,8,0
112745961,self,STRAWBERRY,134,5
112745961,opp,STRAWBERRY,134,5
112745961,self,CARROT,592,24
112745961,opp,CARROT,592,24
112746444,self,WHEAT,6,0
112746444,opp,WHEAT,6,0
112746444,self,MELON,8,0
112746444,opp,MELON,8,0
112746444,self,STRAWBERRY,134,5
112746444,opp,STRAWBERRY,134,5
112746444,self,TOMATO,437,18
112746444,opp,TOMATO,437,18
112746444,self,CARROT,592,24
112746444,opp,CARROT,592,24
112747130,self,WHEAT,6,0
112747130,self,MELON,8,0
112747130,opp,MELON,8,0
112747130,opp,WHEAT,14,0
112747130,self,STRAWBERRY,134,5
112747130,opp,STRAWBERRY,134,5
112747130,self,CARROT,592,24
112747130,opp,CARROT,592,24
112748339,self,WHEAT,6,0
112748339,opp,WHEAT,6,0
112748339,self,MELON,8,0
112748339,opp,MELON,8,0
112748339,self,STRAWBERRY,134,5
112748339,opp,STRAWBERRY,134,5
112748339,self,CARROT,449,18
112748339,opp,CARROT,449,18
112749509,self,WHEAT,6,0
112749509,opp,WHEAT,6,0
112749509,self,MELON,8,0
112749509,opp,MELON,8,0
112749509,self,STRAWBERRY,134,5
112749509,opp,STRAWBERRY,134,5
112749509,self,CARROT,592,24
112749509,opp,CARROT,592,24
112749577,self,WHEAT,6,0
112749577,opp,WHEAT,6,0
112749577,self,MELON,8,0
112749577,opp,MELON,8,0
112749577,self,STRAWBERRY,134,5
112749577,opp,STRAWBERRY,134,5
112749577,self,TOMATO,437,18
112749577,opp,TOMATO,437,18
112749577,self,CARROT,549,22
112749577,opp,CARROT,549,22
112750796,self,WHEAT,6,0
112750796,opp,WHEAT,6,0
112750796,self,MELON,8,0
112750796,opp,MELON,8,0
112750796,self,STRAWBERRY,134,5
112750796,opp,STRAWBERRY,134,5
112750796,self,CARROT,501,20
112750796,opp,CARROT,519,21
112751861,self,WHEAT,6,0
112751861,opp,WHEAT,6,0
112751861,self,MELON,8,0
112751861,opp,MELON,8,0
112751861,self,STRAWBERRY,134,5
112751861,opp,STRAWBERRY,134,5
112751861,self,CARROT,592,24
112751861,opp,CARROT,592,24
112752873,self,WHEAT,6,0
112752873,opp,MELON,7,0
112752873,self,MELON,8,0
112752873,opp,WHEAT,10,0
112752873,opp,STRAWBERRY,59,2
112752873,self,STRAWBERRY,134,5
112752873,opp,CARROT,211,8
112752873,self,CARROT,592,24
112754190,self,WHEAT,6,0
112754190,opp,WHEAT,6,0
112754190,self,MELON,8,0
112754190,opp,MELON,8,0
112754190,self,STRAWBERRY,134,5
112754190,opp,STRAWBERRY,134,5
112754190,self,CARROT,567,23
112754190,opp,CARROT,592,24
112755365,self,WHEAT,6,0
112755365,opp,WHEAT,6,0
112755365,self,MELON,8,0
112755365,opp,MELON,8,0
112755365,self,STRAWBERRY,134,5
112755365,opp,STRAWBERRY,134,5
112755365,self,CARROT,592,24
112755365,opp,CARROT,592,24
112756505,self,WHEAT,6,0
112756505,opp,WHEAT,6,0
112756505,self,MELON,8,0
112756505,opp,MELON,8,0
112756505,self,STRAWBERRY,134,5
112756505,opp,STRAWBERRY,134,5
112756505,self,CARROT,453,18
112756505,opp,CARROT,453,18
112756518,self,WHEAT,6,0
112756518,opp,WHEAT,6,0
112756518,self,MELON,8,0
112756518,opp,MELON,8,0
112756518,self,STRAWBERRY,134,5
112756518,opp,STRAWBERRY,134,5
112756518,self,CARROT,592,24
112756518,opp,CARROT,592,24
112757690,self,WHEAT,6,0
112757690,opp,WHEAT,6,0
112757690,self,MELON,8,0
112757690,opp,MELON,8,0
112757690,self,STRAWBERRY,134,5
112757690,opp,STRAWBERRY,134,5
112757690,self,CARROT,607,25
112757690,opp,CARROT,607,25
112758841,self,WHEAT,6,0
112758841,opp,WHEAT,6,0
112758841,self,MELON,8,0
112758841,opp,MELON,8,0
112758841,self,STRAWBERRY,134,5
112758841,opp,STRAWBERRY,134,5
112758841,self,CARROT,591,24
112758841,opp,CARROT,607,25
112759854,self,WHEAT,6,0
112759854,opp,WHEAT,6,0
112759854,self,MELON,8,0
112759854,opp,MELON,8,0
112759854,self,STRAWBERRY,134,5
112759854,opp,STRAWBERRY,134,5
112759854,self,CARROT,161,6
112759854,opp,CARROT,607,25
112761179,self,WHEAT,6,0
112761179,opp,WHEAT,6,0
112761179,self,MELON,8,0
112761179,opp,MELON,8,0
112761179,self,STRAWBERRY,134,5
112761179,opp,STRAWBERRY,134,5
112761179,self,CARROT,607,25
112761179,opp,CARROT,607,25
112762368,self,WHEAT,6,0
112762368,self,MELON,8,0
112762368,opp,MELON,8,0
112762368,opp,WHEAT,14,0
112762368,self,STRAWBERRY,134,5
112762368,opp,STRAWBERRY,134,5
112762368,self,CARROT,188,7
112762368,opp,CARROT,424,17
112763535,self,WHEAT,6,0
112763535,opp,WHEAT,6,0
112763535,self,MELON,8,0
112763535,opp,MELON,8,0
112763535,self,STRAWBERRY,134,5
112763535,opp,STRAWBERRY,134,5
112763535,self,CARROT,161,6
112763535,opp,CARROT,591,24
112763647,self,WHEAT,6,0
112763647,opp,WHEAT,6,0
112763647,self,MELON,8,0
112763647,opp,MELON,8,0
112763647,self,STRAWBERRY,134,5
112763647,opp,STRAWBERRY,134,5
112763647,self,CARROT,567,23
112763647,opp,CARROT,592,24
