arm,family,seed,seat,record,day,hour,money,opponent_money,animals,crops,hands,weeds,shed_load,carried_load,quadrants
round4_learned,qeinstein_moev2,2026092421,0,456,19,0,0.0,58308.0,0,1,0,18,5,0,2
round4_learned,qeinstein_moev2,2026092421,0,480,20,0,0.0,66898.0,0,3,0,16,6,0,2
round4_learned,qeinstein_moev2,2026092421,0,504,21,0,8.0,76053.0,0,6,0,16,3,0,2
round4_learned,qeinstein_moev2,2026092421,0,528,22,0,1.0,90118.0,0,4,0,17,7,0,2
round4_learned,qeinstein_moev2,2026092421,0,552,23,0,1.0,101542.0,0,6,0,17,9,0,2
round4_learned,qeinstein_moev2,2026092421,0,576,24,0,3.0,110142.0,0,9,0,18,9,0,2
round4_learned,qeinstein_moev2,2026092421,0,600,25,0,1.0,120268.0,0,10,0,18,9,0,2
round4_learned,qeinstein_moev2,2026092421,0,624,26,0,3.0,126596.0,0,4,0,21,12,0,2
round4_learned,qeinstein_moev2,2026092421,0,648,27,0,177.0,140174.0,0,6,0,20,3,0,2
round4_learned,qeinstein_moev2,2026092421,0,672,28,0,7.0,147092.0,0,9,0,22,3,0,2
round4_learned,qeinstein_moev2,2026092421,0,696,29,0,0.0,156193.0,0,10,0,21,9,0,2
round4_learned,qeinstein_moev2,2026092421,0,719,29,23,64.0,167716.0,0,13,9,21,0,12,2
round4_learned,qeinstein_moev2,2026092421,1,0,0,0,3000.0,3000.0,0,0,0,0,0,0,1
round4_learned,qeinstein_moev2,2026092421,1,24,1,0,235.0,18.0,4,2,0,0,0,0,2
round4_learned,qeinstein_moev2,2026092421,1,48,2,0,9.0,233.0,2,17,0,0,7,0,2
round4_learned,qeinstein_moev2,2026092421,1,72,3,0,99.0,228.0,2,19,0,0,5,0,2
round4_learned,qeinstein_moev2,2026092421,1,96,4,0,73.0,273.0,2,18,0,0,9,0,2
round4_learned,qeinstein_moev2,2026092421,1,120,5,0,45.0,683.0,2,9,0,6,25,0,2
round4_learned,qeinstein_moev2,2026092421,1,144,6,0,21.0,896.0,2,10,0,9,16,0,2
round4_learned,qeinstein_moev2,2026092421,1,168,7,0,3.0,724.0,3,11,0,9,6,0,2
round4_learned,qeinstein_moev2,2026092421,1,192,8,0,83.0,749.0,3,13,0,9,6,0,2
round4_learned,qeinstein_moev2,2026092421,1,216,9,0,355.0,1036.0,2,14,0,10,3,0,2
round4_learned,qeinstein_moev2,2026092421,1,240,10,0,190.0,2789.0,2,16,0,9,12,0,2
round4_learned,qeinstein_moev2,2026092421,1,264,11,0,3.0,17826.0,1,19,0,9,13,0,2
round4_learned,qeinstein_moev2,2026092421,1,288,12,0,128.0,17931.0,1,20,0,9,10,0,2
round4_learned,qeinstein_moev2,2026092421,1,312,13,0,46.0,22022.0,1,20,0,8,28,0,2
round4_learned,qeinstein_moev2,2026092421,1,336,14,0,801.0,22866.0,1,23,0,7,25,0,2
round4_learned,qeinstein_moev2,2026092421,1,360,15,0,419.0,26808.0,1,29,0,6,22,0,2
round4_learned,qeinstein_moev2,2026092421,1,384,16,0,364.0,31445.0,1,30,0,5,16,0,2
round4_learned,qeinstein_moev2,2026092421,1,408,17,0,295.0,35874.0,1,24,0,11,19,0,2
round4_learned,qeinstein_moev2,2026092421,1,432,18,0,485.0,41388.0,1,23,0,13,17,0,2
round4_learned,qeinstein_moev2,2026092421,1,456,19,0,1057.0,47339.0,1,17,0,19,16,0,2
round4_learned,qeinstein_moev2,2026092421,1,480,20,0,1320.0,52531.0,1,17,0,22,10,0,2
round4_learned,qeinstein_moev2,2026092421,1,504,21,0,1473.0,59800.0,1,12,0,27,11,0,2
round4_learned,qeinstein_moev2,2026092421,1,528,22,0,2085.0,70429.0,1,6,0,33,12,0,2
round4_learned,qeinstein_moev2,2026092421,1,552,23,0,2470.0,79327.0,1,6,0,33,14,0,2
round4_learned,qeinstein_moev2,2026092421,1,576,24,0,2615.0,84984.0,1,6,0,33,12,0,2
round4_learned,qeinstein_moev2,2026092421,1,600,25,0,2539.0,91438.0,1,5,0,34,12,0,2
round4_learned,qeinstein_moev2,2026092421,1,624,26,0,2933.0,95068.0,0,4,0,34,6,0,2
round4_learned,qeinstein_moev2,2026092421,1,648,27,0,1637.0,104093.0,0,5,0,35,12,0,2
round4_learned,qeinstein_moev2,2026092421,1,672,28,0,105.0,108155.0,0,6,0,34,8,0,2
round4_learned,qeinstein_moev2,2026092421,1,696,29,0,91.0,117739.0,0,5,0,35,9,0,2
round4_learned,qeinstein_moev2,2026092421,1,719,29,23,1130.0,134513.0,0,6,6,35,0,3,2
round4_learned,smart_farm,2026092422,0,0,0,0,3000.0,3000.0,0,0,0,0,0,0,1
round4_learned,smart_farm,2026092422,0,24,1,0,1209.0,37.0,2,0,0,0,1,0,1
round4_learned,smart_farm,2026092422,0,48,2,0,902.0,70.0,1,2,0,0,2,0,1
round4_learned,smart_farm,2026092422,0,72,3,0,60.0,164.0,3,9,0,0,2,0,1
round4_learned,smart_farm,2026092422,0,96,4,0,54.0,151.0,3,17,0,0,4,0,1
round4_learned,smart_farm,2026092422,0,120,5,0,38.0,85.0,2,20,0,0,4,0,1
round4_learned,smart_farm,2026092422,0,144,6,0,110.0,261.0,1,19,0,1,13,0,1
round4_learned,smart_farm,2026092422,0,168,7,0,64.0,680.0,1,17,0,3,11,0,1
round4_learned,smart_farm,2026092422,0,192,8,0,2.0,421.0,1,17,0,3,10,0,1
round4_learned,smart_farm,2026092422,0,216,9,0,90.0,1034.0,1,13,0,7,11,0,1
round4_learned,smart_farm,2026092422,0,240,10,0,238.0,2026.0,1,13,0,7,6,0,1
round4_learned,smart_farm,2026092422,0,264,11,0,263.0,16499.0,0,14,0,6,4,0,1
round4_learned,smart_farm,2026092422,0,288,12,0,9.0,17920.0,0,13,0,6,10,0,1
round4_learned,smart_farm,2026092422,0,312,13,0,2.0,22246.0,0,4,0,15,10,0,1
round4_learned,smart_farm,2026092422,0,336,14,0,0.0,24797.0,0,3,0,16,10,0,1
round4_learned,smart_farm,2026092422,0,360,15,0,8.0,30587.0,0,9,0,10,9,0,1
round4_learned,smart_farm,2026092422,0,384,16,0,1.0,36180.0,0,10,0,4,9,0,1
round4_learned,smart_farm,2026092422,0,408,17,0,7.0,44378.0,0,15,0,2,10,0,1
round4_learned,smart_farm,2026092422,0,432,18,0,0.0,52520.0,0,14,0,3,18,0,1
round4_learned,smart_farm,2026092422,0,456,19,0,14.0,61541.0,0,16,0,3,10,0,1
round4_learned,smart_farm,2026092422,0,480,20,0,2.0,70782.0,0,14,0,5,12,0,1
round4_learned,smart_farm,2026092422,0,504,21,0,573.0,80305.0,0,8,0,11,7,0,1
round4_learned,smart_farm,2026092422,0,528,22,0,2.0,91988.0,0,9,0,10,12,0,1
round4_learned,smart_farm,2026092422,0,552,23,0,654.0,104631.0,0,13,0,6,5,0,1
round4_learned,smart_farm,2026092422,0,576,24,0,151.0,112551.0,0,12,0,7,5,0,1
round4_learned,smart_farm,2026092422,0,600,25,0,8.0,119396.0,0,12,0,7,10,0,1
round4_learned,smart_farm,2026092422,0,624,26,0,640.0,127255.0,0,11,0,8,0,0,1
round4_learned,smart_farm,2026092422,0,648,27,0,143.0,136478.0,0,5,0,14,7,0,1
round4_learned,smart_farm,2026092422,0,672,28,0,0.0,143751.0,0,14,0,5,9,0,1
round4_learned,smart_farm,2026092422,0,696,29,0,2.0,160205.0,0,14,0,4,8,0,1
round4_learned,smart_farm,2026092422,0,719,29,23,4.0,167626.0,0,14,9,4,0,10,1
round4_learned,smart_farm,2026092422,1,0,0,0,3000.0,3000.0,0,0,0,0,0,0,1
round4_learned,smart_farm,2026092422,1,24,1,0,1369.0,37.0,2,0,0,0,1,0,1
round4_learned,smart_farm,2026092422,1,48,2,0,1301.0,71.0,1,5,0,0,0,0,1
round4_learned,smart_farm,2026092422,1,72,3,0,64.0,166.0,0,12,0,0,2,0,1
round4_learned,smart_farm,2026092422,1,96,4,0,155.0,153.0,1,20,0,0,0,0,1
round4_learned,smart_farm,2026092422,1,120,5,0,143.0,100.0,0,17,0,3,3,0,1
round4_learned,smart_farm,2026092422,1,144,6,0,43.0,280.0,0,17,0,4,9,0,1
round4_learned,smart_farm,2026092422,1,168,7,0,69.0,708.0,0,17,0,4,6,0,1
round4_learned,smart_farm,2026092422,1,192,8,0,15.0,460.0,0,17,0,4,8,0,1
round4_learned,smart_farm,2026092422,1,216,9,0,3.0,1139.0,0,15,0,5,12,0,1
round4_learned,smart_farm,2026092422,1,240,10,0,103.0,2203.0,0,14,0,6,9,0,1
round4_learned,smart_farm,2026092422,1,264,11,0,5.0,16761.0,0,16,0,5,11,0,1
round4_learned,smart_farm,2026092422,1,288,12,0,1.0,18233.0,0,16,0,5,11,0,1
round4_learned,smart_farm,2026092422,1,312,13,0,190.0,22555.0,0,8,0,13,6,0,1
round4_learned,smart_farm,2026092422,1,336,14,0,3.0,25078.0,0,10,0,7,20,0,1
round4_learned,smart_farm,2026092422,1,360,15,0,1.0,30693.0,0,9,0,7,25,0,1
round4_learned,smart_farm,2026092422,1,384,16,0,484.0,36136.0,0,13,0,5,31,0,1
round4_learned,smart_farm,2026092422,1,408,17,0,5.0,44068.0,0,18,0,2,37,0,1
round4_learned,smart_farm,2026092422,1,432,18,0,1019.0,51851.0,0,18,0,2,26,0,1
round4_learned,smart_farm,2026092422,1,456,19,0,261.0,60327.0,0,20,0,1,41,0,1
round4_learned,smart_farm,2026092422,1,480,20,0,627.0,68588.0,0,20,0,1,33,0,1
round4_learned,smart_farm,2026092422,1,504,21,0,1621.0,76874.0,0,21,0,0,35,0,1
round4_learned,smart_farm,2026092422,1,528,22,0,2011.0,87295.0,0,21,0,0,26,0,1
round4_learned,smart_farm,2026092422,1,552,23,0,1946.0,99709.0,0,21,0,0,28,0,1
round4_learned,smart_farm,2026092422,1,576,24,0,2217.0,105092.0,0,20,0,1,33,0,1
round4_learned,smart_farm,2026092422,1,600,25,0,2547.0,112733.0,0,20,0,1,24,0,1
round4_learned,smart_farm,2026092422,1,624,26,0,2831.0,118048.0,0,20,0,1,27,0,1
round4_learned,smart_farm,2026092422,1,648,27,0,3097.0,126334.0,0,19,0,2,24,0,1
round4_learned,smart_farm,2026092422,1,672,28,0,3515.0,132779.0,0,16,0,5,18,0,1
round4_learned,smart_farm,2026092422,1,696,29,0,3888.0,143721.0,0,16,0,6,19,0,1
round4_learned,smart_farm,2026092422,1,719,29,23,4082.0,150065.0,0,16,10,6,1,22,1
round4_learned,qeinstein_moev2,2026092821,0,0,0,0,3000.0,3000.0,0,0,0,0,0,0,1
round4_learned,qeinstein_moev2,2026092821,0,24,1,0,87.0,17.0,2,0,0,0,2,0,2
round4_learned,qeinstein_moev2,2026092821,0,48,2,0,7.0,239.0,1,0,0,1,1,0,2
round4_learned,qeinstein_moev2,2026092821,0,72,3,0,0.0,236.0,1,11,0,1,0,0,2
round4_learned,qeinstein_moev2,2026092821,0,96,4,0,0.0,281.0,0,14,0,1,0,0,2
round4_learned,qeinstein_moev2,2026092821,0,120,5,0,0.0,711.0,0,12,0,7,2,0,2
round4_learned,qeinstein_moev2,2026092821,0,144,6,0,0.0,932.0,0,8,0,11,7,0,2
round4_learned,qeinstein_moev2,2026092821,0,168,7,0,6.0,567.0,0,9,0,13,8,0,2
round4_learned,qeinstein_moev2,2026092821,0,192,8,0,2.0,433.0,0,8,0,12,11,0,2
round4_learned,qeinstein_moev2,2026092821,0,216,9,0,8.0,1167.0,0,10,0,13,12,0,2
round4_learned,qeinstein_moev2,2026092821,0,240,10,0,1.0,3297.0,0,9,0,12,15,0,2
round4_learned,qeinstein_moev2,2026092821,0,264,11,0,0.0,19278.0,0,6,0,14,12,0,2
round4_learned,qeinstein_moev2,2026092821,0,288,12,0,1.0,19964.0,0,10,0,13,7,0,2
round4_learned,qeinstein_moev2,2026092821,0,312,13,0,108.0,25312.0,0,6,0,14,11,0,2
round4_learned,qeinstein_moev2,2026092821,0,336,14,0,4.0,26409.0,0,5,0,14,13,0,2
round4_learned,qeinstein_moev2,2026092821,0,360,15,0,6.0,33390.0,0,8,0,14,12,0,2
round4_learned,qeinstein_moev2,2026092821,0,384,16,0,2.0,39018.0,0,3,0,18,16,0,2
round4_learned,qeinstein_moev2,2026092821,0,408,17,0,2.0,47724.0,0,3,0,21,11,0,2
round4_learned,qeinstein_moev2,2026092821,0,432,18,0,2.0,56246.0,0,8,0,20,9,0,2
round4_learned,qeinstein_moev2,2026092821,0,456,19,0,0.0,66096.0,0,5,0,23,9,0,2
round4_learned,qeinstein_moev2,2026092821,0,480,20,0,1.0,75272.0,0,7,0,20,6,0,2
round4_learned,qeinstein_moev2,2026092821,0,504,21,0,6.0,87892.0,0,11,0,17,11,0,2
round4_learned,qeinstein_moev2,2026092821,0,528,22,0,2.0,100283.0,0,10,0,17,15,0,2
round4_learned,qeinstein_moev2,2026092821,0,552,23,0,0.0,112611.0,0,4,0,23,14,0,2
round4_learned,qeinstein_moev2,2026092821,0,576,24,0,0.0,120463.0,0,9,0,20,11,0,2
round4_learned,qeinstein_moev2,2026092821,0,600,25,0,6.0,130598.0,0,16,0,17,8,0,2
round4_learned,qeinstein_moev2,2026092821,0,624,26,0,2.0,135360.0,0,14,0,20,15,0,2
round4_learned,qeinstein_moev2,2026092821,0,648,27,0,4.0,153075.0,0,14,0,21,26,0,2
round4_learned,qeinstein_moev2,2026092821,0,672,28,0,1.0,158422.0,0,17,0,20,20,0,2
round4_learned,qeinstein_moev2,2026092821,0,696,29,0,5.0,170169.0,0,15,0,22,21,0,2
round4_learned,qeinstein_moev2,2026092821,0,719,29,23,0.0,183103.0,0,17,12,22,0,18,2
round4_learned,qeinstein_moev2,2026092821,1,0,0,0,3000.0,3000.0,0,0,0,0,0,0,1
round4_learned,qeinstein_moev2,2026092821,1,24,1,0,235.0,18.0,4,2,0,0,0,0,2
round4_learned,qeinstein_moev2,2026092821,1,48,2,0,9.0,233.0,2,17,0,0,7,0,2
round4_learned,qeinstein_moev2,2026092821,1,72,3,0,99.0,228.0,2,19,0,0,5,0,2
round4_learned,qeinstein_moev2,2026092821,1,96,4,0,73.0,273.0,2,18,0,0,9,0,2
round4_learned,qeinstein_moev2,2026092821,1,120,5,0,45.0,688.0,2,10,0,5,22,0,2
round4_learned,qeinstein_moev2,2026092821,1,144,6,0,63.0,898.0,2,8,0,9,18,0,2
round4_learned,qeinstein_moev2,2026092821,1,168,7,0,71.0,543.0,2,11,0,9,10,0,2
round4_learned,qeinstein_moev2,2026092821,1,192,8,0,99.0,546.0,2,14,0,8,8,0,2
round4_learned,qeinstein_moev2,2026092821,1,216,9,0,303.0,1340.0,2,15,0,4,4,0,2
round4_learned,qeinstein_moev2,2026092821,1,240,10,0,77.0,3157.0,0,21,0,2,12,0,2
round4_learned,qeinstein_moev2,2026092821,1,264,11,0,6.0,19252.0,0,24,0,3,10,0,2
round4_learned,qeinstein_moev2,2026092821,1,288,12,0,2.0,20090.0,0,20,0,7,16,0,2
round4_learned,qeinstein_moev2,2026092821,1,312,13,0,10.0,25162.0,0,20,0,8,25,0,2
round4_learned,qeinstein_moev2,2026092821,1,336,14,0,3.0,26376.0,1,21,0,7,27,0,2
round4_learned,qeinstein_moev2,2026092821,1,360,15,0,7.0,34280.0,1,22,0,9,24,0,2
round4_learned,qeinstein_moev2,2026092821,1,384,16,0,148.0,40806.0,1,21,0,13,11,0,2
round4_learned,qeinstein_moev2,2026092821,1,408,17,0,7.0,49235.0,1,31,0,6,16,0,2
round4_learned,qeinstein_moev2,2026092821,1,432,18,0,8.0,56012.0,2,29,0,9,21,0,2
round4_learned,qeinstein_moev2,2026092821,1,456,19,0,199.0,64510.0,2,13,0,25,15,0,2
round4_learned,qeinstein_moev2,2026092821,1,480,20,0,129.0,72392.0,2,9,0,29,15,0,2
round4_learned,qeinstein_moev2,2026092821,1,504,21,0,194.0,81852.0,2,11,0,28,14,0,2
round4_learned,qeinstein_moev2,2026092821,1,528,22,0,902.0,91990.0,2,12,0,27,8,0,2
round4_learned,qeinstein_moev2,2026092821,1,552,23,0,571.0,105040.0,2,17,0,25,13,0,2
round4_learned,qeinstein_moev2,2026092821,1,576,24,0,780.0,112142.0,2,17,0,25,17,0,2
round4_learned,qeinstein_moev2,2026092821,1,600,25,0,272.0,122576.0,2,18,0,24,35,0,2
round4_learned,qeinstein_moev2,2026092821,1,624,26,0,459.0,129461.0,2,20,0,26,38,0,2
round4_learned,qeinstein_moev2,2026092821,1,648,27,0,266.0,142861.0,2,22,0,24,42,0,2
round4_learned,qeinstein_moev2,2026092821,1,672,28,0,1127.0,149373.0,2,16,0,30,36,0,2
round4_learned,qeinstein_moev2,2026092821,1,696,29,0,1389.0,158539.0,2,14,0,32,29,0,2
round4_learned,qeinstein_moev2,2026092821,1,719,29,23,2907.0,171606.0,2,13,9,33,0,14,2
round4_learned,smart_farm,2026092822,0,0,0,0,3000.0,3000.0,0,0,0,0,0,0,1
round4_learned,smart_farm,2026092822,0,24,1,0,1209.0,37.0,2,0,0,0,1,0,1
round4_learned,smart_farm,2026092822,0,48,2,0,902.0,70.0,1,2,0,0,2,0,1
round4_learned,smart_farm,2026092822,0,72,3,0,60.0,164.0,3,9,0,0,2,0,1
round4_learned,smart_farm,2026092822,0,96,4,0,55.0,151.0,3,16,0,0,5,0,1
round4_learned,smart_farm,2026092822,0,120,5,0,224.0,89.0,1,20,0,0,5,0,1
round4_learned,smart_farm,2026092822,0,144,6,0,25.0,264.0,1,19,0,1,11,0,1
round4_learned,smart_farm,2026092822,0,168,7,0,98.0,912.0,1,14,0,6,18,0,1
round4_learned,smart_farm,2026092822,0,192,8,0,195.0,620.0,1,16,0,3,21,0,1
round4_learned,smart_farm,2026092822,0,216,9,0,35.0,712.0,1,17,0,3,23,0,1
round4_learned,smart_farm,2026092822,0,240,10,0,89.0,2226.0,1,17,0,3,24,0,1
round4_learned,smart_farm,2026092822,0,264,11,0,307.0,16526.0,1,16,0,4,21,0,1
round4_learned,smart_farm,2026092822,0,288,12,0,186.0,17017.0,1,17,0,1,30,0,1
round4_learned,smart_farm,2026092822,0,312,13,0,964.0,21461.0,1,17,0,1,34,0,1
round4_learned,smart_farm,2026092822,0,336,14,0,10.0,23800.0,2,27,0,4,25,0,3
round4_learned,smart_farm,2026092822,0,360,15,0,7.0,30495.0,2,22,0,11,19,0,3
round4_learned,smart_farm,2026092822,0,384,16,0,6.0,35471.0,2,25,0,19,21,0,3
round4_learned,smart_farm,2026092822,0,408,17,0,232.0,47007.0,2,28,0,20,20,0,3
round4_learned,smart_farm,2026092822,0,432,18,0,390.0,56517.0,2,34,0,20,30,0,3
round4_learned,smart_farm,2026092822,0,456,19,0,259.0,65762.0,2,42,0,16,36,0,3
round4_learned,smart_farm,2026092822,0,480,20,0,690.0,74723.0,2,39,0,18,45,0,3
round4_learned,smart_farm,2026092822,0,504,21,0,1551.0,84994.0,2,37,0,22,42,0,3
round4_learned,smart_farm,2026092822,0,528,22,0,2043.0,97195.0,2,42,0,22,41,0,3
round4_learned,smart_farm,2026092822,0,552,23,0,2434.0,110582.0,2,37,0,27,46,0,3
round4_learned,smart_farm,2026092822,0,576,24,0,2834.0,119875.0,1,31,0,32,57,0,3
round4_learned,smart_farm,2026092822,0,600,25,0,4624.0,130429.0,1,33,0,32,51,0,3
round4_learned,smart_farm,2026092822,0,624,26,0,5254.0,138098.0,1,42,0,22,46,0,3
round4_learned,smart_farm,2026092822,0,648,27,0,5508.0,149294.0,1,48,0,19,52,0,3
round4_learned,smart_farm,2026092822,0,672,28,0,5397.0,158740.0,1,49,0,19,63,0,3
round4_learned,smart_farm,2026092822,0,696,29,0,7688.0,171102.0,1,45,0,22,52,0,3
round4_learned,smart_farm,2026092822,0,719,29,23,7777.0,183250.0,1,42,14,24,0,59,3
round4_learned,smart_farm,2026092822,1,0,0,0,3000.0,3000.0,0,0,0,0,0,0,1
round4_learned,smart_farm,2026092822,1,24,1,0,1369.0,37.0,2,0,0,0,1,0,1
round4_learned,smart_farm,2026092822,1,48,2,0,1301.0,71.0,1,5,0,0,0,0,1
round4_learned,smart_farm,2026092822,1,72,3,0,64.0,166.0,0,12,0,0,2,0,1
round4_learned,smart_farm,2026092822,1,96,4,0,155.0,153.0,1,20,0,0,0,0,1
round4_learned,smart_farm,2026092822,1,120,5,0,143.0,100.0,0,17,0,3,3,0,1
round4_learned,smart_farm,2026092822,1,144,6,0,43.0,280.0,0,17,0,4,9,0,1
round4_learned,smart_farm,2026092822,1,168,7,0,69.0,708.0,0,17,0,4,6,0,1
round4_learned,smart_farm,2026092822,1,192,8,0,15.0,460.0,0,17,0,4,8,0,1
round4_learned,smart_farm,2026092822,1,216,9,0,3.0,1139.0,0,15,0,5,12,0,1
round4_learned,smart_farm,2026092822,1,240,10,0,103.0,2203.0,0,15,0,5,9,0,1
round4_learned,smart_farm,2026092822,1,264,11,0,15.0,16823.0,0,6,0,14,9,0,1
round4_learned,smart_farm,2026092822,1,288,12,0,3.0,18376.0,0,6,0,14,9,0,1
round4_learned,smart_farm,2026092822,1,312,13,0,1.0,22778.0,0,6,0,11,12,0,1
round4_learned,smart_farm,2026092822,1,336,14,0,204.0,25396.0,0,4,0,12,9,0,1
round4_learned,smart_farm,2026092822,1,360,15,0,7.0,31374.0,0,13,0,4,19,0,1
round4_learned,smart_farm,2026092822,1,384,16,0,0.0,37069.0,0,13,0,3,19,0,1
round4_learned,smart_farm,2026092822,1,408,17,0,252.0,45591.0,0,15,0,4,19,0,1
round4_learned,smart_farm,2026092822,1,432,18,0,4.0,54019.0,0,19,0,2,35,0,1
round4_learned,smart_farm,2026092822,1,456,19,0,60.0,63597.0,0,21,0,0,24,0,1
round4_learned,smart_farm,2026092822,1,480,20,0,6.0,73569.0,0,19,0,2,36,0,1
round4_learned,smart_farm,2026092822,1,504,21,0,50.0,83624.0,0,20,0,0,26,0,1
round4_learned,smart_farm,2026092822,1,528,22,0,760.0,96859.0,0,20,0,0,30,0,1
round4_learned,smart_farm,2026092822,1,552,23,0,434.0,112616.0,0,19,0,1,35,0,1
round4_learned,smart_farm,2026092822,1,576,24,0,171.0,120876.0,0,19,0,1,38,0,1
round4_learned,smart_farm,2026092822,1,600,25,0,7.0,131401.0,0,20,0,0,45,0,1
round4_learned,smart_farm,2026092822,1,624,26,0,410.0,140031.0,0,20,0,0,36,0,1
round4_learned,smart_farm,2026092822,1,648,27,0,78.0,150274.0,0,21,0,0,48,0,1
round4_learned,smart_farm,2026092822,1,672,28,0,1332.0,160281.0,0,21,0,0,40,0,1
round4_learned,smart_farm,2026092822,1,696,29,0,1461.0,176545.0,0,21,0,0,48,0,1
round4_learned,smart_farm,2026092822,1,719,29,23,3700.0,184811.0,0,21,15,0,0,36,1
round4_rule,qeinstein_moev2,2026092421,0,0,0,0,3000.0,3000.0,0,0,0,0,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,24,1,0,2960.0,30.0,0,1,0,0,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,48,2,0,2960.0,253.0,0,1,0,0,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,72,3,0,2940.0,221.0,0,1,0,0,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,96,4,0,2975.0,267.0,0,1,0,0,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,120,5,0,2955.0,692.0,0,1,0,0,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,144,6,0,2990.0,915.0,0,1,0,0,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,168,7,0,2970.0,754.0,0,1,0,0,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,192,8,0,3005.0,803.0,0,1,0,0,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,216,9,0,2985.0,1571.0,0,1,0,0,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,240,10,0,3020.0,3374.0,0,1,0,0,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,264,11,0,3000.0,19323.0,0,1,0,0,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,288,12,0,3036.0,20021.0,0,1,0,0,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,312,13,0,3016.0,25216.0,0,1,0,2,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,336,14,0,3052.0,26519.0,0,1,0,2,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,360,15,0,3032.0,31847.0,0,1,0,2,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,384,16,0,3068.0,39396.0,0,1,0,2,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,408,17,0,3048.0,47243.0,0,1,0,2,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,432,18,0,3084.0,55730.0,0,1,0,2,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,456,19,0,3064.0,63831.0,0,1,0,2,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,480,20,0,3100.0,73391.0,0,1,0,3,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,504,21,0,3080.0,83304.0,0,1,0,3,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,528,22,0,3116.0,98558.0,0,1,0,4,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,552,23,0,3096.0,111281.0,0,1,0,4,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,576,24,0,3132.0,120904.0,0,1,0,4,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,600,25,0,3112.0,132515.0,0,1,0,4,1,0,1
round4_rule,qeinstein_moev2,2026092421,0,624,26,0,3149.0,139831.0,0,1,0,4,0,0,1
round4_rule,qeinstein_moev2,2026092421,0,648,27,0,3129.0,155402.0,0,1,0,4,1,0,1
