arm,anchor,seed,seat,reported_cash,independent_final_cash,cash_matches,first_hire_record,first_land_record,first_crop_record,first_animal_record,first_unambiguous_sale_record,max_hands,max_crops,max_animals,work_requests,work_effects,work_effect_rate,same_coordinate_multiwork_turns,replay,replay_sha256
phase_b_f1,v122,2026102202,0,357.0,357.0,True,169,218,20,4,16,9,28,9,847,807,0.9527744982290437,45,experiments\round8_execution_reset_20260922\phase_b_f1\replays\v122\seed_2026102202_seat_0.json.gz,bec5e51fafd7a20068d613e45bedbd50ec949785196c6046f0a85b2a28a1bef4
phase_b_f1,v122,2026102202,1,13109.0,13109.0,True,97,268,20,4,15,8,28,7,1499,1396,0.9312875250166778,134,experiments\round8_execution_reset_20260922\phase_b_f1\replays\v122\seed_2026102202_seat_1.json.gz,af08fb7d2f00750cf2b7d75c439025082494d532222b3be6fd86e49763aace8a
phase_b_f1,v124,2026102201,0,24732.0,24732.0,True,193,315,20,4,16,13,43,5,1539,1427,0.9272254710851202,115,experiments\round8_execution_reset_20260922\phase_b_f1\replays\v124\seed_2026102201_seat_0.json.gz,a93d8e0bfe501aaf0dc5d3d8e32cbcf04563b82b40a9a5030935ec9a82375b33
phase_b_f1,v124,2026102201,1,4409.0,4409.0,True,145,222,20,4,15,9,37,7,661,626,0.9470499243570348,39,experiments\round8_execution_reset_20260922\phase_b_f1\replays\v124\seed_2026102201_seat_1.json.gz,3f8cead7829a7a0ac8389af9c967a5deea3d392ca16e7ca6a63957f9090a5ed6
phase_b_f1,v124,2026102202,0,4767.0,4767.0,True,169,218,20,4,16,9,28,8,1104,1068,0.967391304347826,44,experiments\round8_execution_reset_20260922\phase_b_f1\replays\v124\seed_2026102202_seat_0.json.gz,63dc4c3d453e049ee7c82006f1ec7c6d9adb0907d09d5f02f3c8574d0e529a63
phase_b_f1,v124,2026102202,1,13856.0,13856.0,True,97,268,20,4,15,12,36,7,1682,1553,0.9233055885850179,149,experiments\round8_execution_reset_20260922\phase_b_f1\replays\v124\seed_2026102202_seat_1.json.gz,cb9645ea5a46748bf5393484f3ea11bde55d18cb34c532b3c6c3da7888a81924
phase_b_f2,v122,2026102201,0,784.0,784.0,True,193,195,20,4,16,8,31,7,447,447,1.0,9,experiments\round8_execution_reset_20260922\phase_b_f2\replays\v122\seed_2026102201_seat_0.json.gz,e4aad9b07a7e61742a95966aad7451fb854e2778fd2679277a2f8b88bf6add16
phase_b_f2,v122,2026102201,1,2597.0,2597.0,True,145,218,20,4,15,9,14,5,419,419,1.0,13,experiments\round8_execution_reset_20260922\phase_b_f2\replays\v122\seed_2026102201_seat_1.json.gz,abd8d4f6ff134ca6c958629b1edbe0d1ec1ae9168865a3be9cb49d3599309944
phase_b_f2,v122,2026102202,0,3624.0,3624.0,True,169,218,20,4,16,9,28,6,568,568,1.0,16,experiments\round8_execution_reset_20260922\phase_b_f2\replays\v122\seed_2026102202_seat_0.json.gz,d70fbfd0b5ffe76782d0ee60bf3f0c948824f8f7cf74eaa3d14e41b02c62b2db
phase_b_f2,v122,2026102202,1,21098.0,21098.0,True,97,,20,4,15,13,20,5,1202,1202,1.0,47,experiments\round8_execution_reset_20260922\phase_b_f2\replays\v122\seed_2026102202_seat_1.json.gz,0fe06634d1cb3859c80b6785e17cffa623d59b5109080a00d75ffe3fddc81eba
phase_b_f2,v124,2026102201,0,794.0,794.0,True,193,195,20,4,16,8,31,7,451,451,1.0,9,experiments\round8_execution_reset_20260922\phase_b_f2\replays\v124\seed_2026102201_seat_0.json.gz,feafa3c2c24f157a62ab8201e0bfc03186f0a63b21403b6fab3c627b941f9a0e
phase_b_f2,v124,2026102201,1,2189.0,2189.0,True,145,218,20,4,15,9,17,5,477,477,1.0,15,experiments\round8_execution_reset_20260922\phase_b_f2\replays\v124\seed_2026102201_seat_1.json.gz,ab7244df1421b7cd32d411d51c5fa5e12222110a1955af8c50319349acf07480
phase_b_f2,v124,2026102202,0,1757.0,1757.0,True,169,218,20,4,16,9,28,6,568,568,1.0,16,experiments\round8_execution_reset_20260922\phase_b_f2\replays\v124\seed_2026102202_seat_0.json.gz,97749de48ecaa4796e3eeafb5bbbe4a9c15f32fd5a0bf9bfc1cb6e09e9ec6b2e
phase_b_f2,v124,2026102202,1,21805.0,21805.0,True,97,,20,4,15,12,20,5,1215,1215,1.0,51,experiments\round8_execution_reset_20260922\phase_b_f2\replays\v124\seed_2026102202_seat_1.json.gz,00748752d57a0c054017a197302617d14bcddf655059ebd9d23b2642f24bca37
phase_b_f2_no_plan,v122,2026102201,0,11823.0,11823.0,True,25,,13,4,17,12,25,2,1075,1075,1.0,21,experiments\round8_execution_reset_20260922\phase_b_f2_no_plan\replays\v122\seed_2026102201_seat_0.json.gz,2389e94e724bf3b8044d6fc20999573ee0efed1b737acc374d6bc595078a594e
phase_b_f2_no_plan,v122,2026102201,1,6135.0,6135.0,True,49,,13,4,18,11,22,2,756,756,1.0,1,experiments\round8_execution_reset_20260922\phase_b_f2_no_plan\replays\v122\seed_2026102201_seat_1.json.gz,a9a151dd3166d29682d3468ac934b58d5dd18ebfe07f62a5bf84be231ed47c68
phase_b_f2_no_plan,v122,2026102202,0,5581.0,5581.0,True,25,,13,4,17,8,23,2,693,693,1.0,1,experiments\round8_execution_reset_20260922\phase_b_f2_no_plan\replays\v122\seed_2026102202_seat_0.json.gz,8c1908dfc1ef403eb703fe01d2d1fa779c7bb612ab742ac9c646cd7f75284861
phase_b_f2_no_plan,v122,2026102202,1,2828.0,2828.0,True,49,338,13,4,18,8,23,2,684,684,1.0,0,experiments\round8_execution_reset_20260922\phase_b_f2_no_plan\replays\v122\seed_2026102202_seat_1.json.gz,fe0d82c760538c5aa0f0e7a8f6b474764b53e052ecf49919069cfd4df8345e4a
phase_b_f2_no_plan,v124,2026102201,0,8079.0,8079.0,True,25,,13,4,17,11,25,2,1107,1107,1.0,23,experiments\round8_execution_reset_20260922\phase_b_f2_no_plan\replays\v124\seed_2026102201_seat_0.json.gz,239cb1fa5e2bbf47cf0d4bc6ccf27b2623a6f31918aa102c6a30b38bab6b6453
phase_b_f2_no_plan,v124,2026102201,1,9800.0,9800.0,True,49,,13,4,18,8,23,2,809,809,1.0,2,experiments\round8_execution_reset_20260922\phase_b_f2_no_plan\replays\v124\seed_2026102201_seat_1.json.gz,8915d5dc53b4b3fd611d43189afa8116f979dbc9b32204b2bca66822a1a02f8c
phase_b_f2_no_plan,v124,2026102202,0,5752.0,5752.0,True,25,,13,4,17,8,22,2,749,749,1.0,4,experiments\round8_execution_reset_20260922\phase_b_f2_no_plan\replays\v124\seed_2026102202_seat_0.json.gz,6774a7f3b8d7fd2b5a712d2d441429e550a35a7f6d9c38df1c9096ba834c5755
phase_b_f2_no_plan,v124,2026102202,1,7113.0,7113.0,True,49,314,13,4,18,8,44,2,926,926,1.0,1,experiments\round8_execution_reset_20260922\phase_b_f2_no_plan\replays\v124\seed_2026102202_seat_1.json.gz,db066efb27b7b5a6b2127bcded61c9f9fb25b748c2aeb1bc5941b369d24b80a8
spatial_pure_v6,v122,2026102201,0,2599.0,2599.0,True,2,342,10,4,2,6,14,5,172,172,1.0,4,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_pure_v6\replays\v122\seed_2026102201_seat_0.json.gz,b4f55dea930b8f4cc1ee4c6848f9141f9a766b3b1d56f32a5ea8811c7accadf5
spatial_pure_v6,v122,2026102201,1,1349.0,1349.0,True,2,,10,4,2,5,14,4,119,119,1.0,1,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_pure_v6\replays\v122\seed_2026102201_seat_1.json.gz,0d4d0ac88405a9978392b3591f043c80066a6bd34715d7f2ba7ee5deadb3f82b
spatial_pure_v6,v122,2026102202,0,2569.0,2569.0,True,2,,10,4,2,6,14,5,158,158,1.0,4,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_pure_v6\replays\v122\seed_2026102202_seat_0.json.gz,9272181c904c0f064b6627318acd88075f88ee693938f381d71a986f08d28321
spatial_pure_v6,v122,2026102202,1,732.0,732.0,True,2,,10,4,2,5,14,4,130,130,1.0,1,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_pure_v6\replays\v122\seed_2026102202_seat_1.json.gz,aa1a4ac87b7e7e86a78cb4700a821c7b1144a4c898824c42daec8b876807fb42
spatial_pure_v6,v124,2026102201,0,0.0,0.0,True,2,342,10,4,2,6,14,5,173,173,1.0,4,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_pure_v6\replays\v124\seed_2026102201_seat_0.json.gz,8163df217eb75f4cdb5d0f850df873af0e0a83cedf539da3c769e22d61a1b4db
spatial_pure_v6,v124,2026102201,1,1159.0,1159.0,True,2,,10,4,2,5,14,4,119,119,1.0,1,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_pure_v6\replays\v124\seed_2026102201_seat_1.json.gz,74e0c2e5632db842584b1e8553342a3743715497ea8c6d23372d64725bad8cb2
spatial_pure_v6,v124,2026102202,0,2573.0,2573.0,True,2,,10,4,2,6,14,5,158,158,1.0,4,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_pure_v6\replays\v124\seed_2026102202_seat_0.json.gz,6d158c265a022a4f409f5fcec9e0845cde5d214477dc3516d19e7049aed5ae30
spatial_pure_v6,v124,2026102202,1,314.0,314.0,True,2,,10,4,2,5,14,4,128,128,1.0,1,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_pure_v6\replays\v124\seed_2026102202_seat_1.json.gz,5554ff0c610ec3b64a87b725faf3c908a555126a614b14e9fdf64470bbcc31e3
spatial_hybrid_v6,v122,2026102201,0,16117.0,16117.0,True,2,,10,4,2,7,13,4,566,566,1.0,15,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v122\seed_2026102201_seat_0.json.gz,f9d9d425383866d83e0709f5ce505351f3b1163cb43ca38248e17da3dd569621
spatial_hybrid_v6,v122,2026102201,1,10273.0,10273.0,True,2,220,10,4,2,7,30,4,695,695,1.0,19,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v122\seed_2026102201_seat_1.json.gz,e58383d6fece0dce05c2288f9ae2a0c39902a27db26250df756ec8ee67a1828e
spatial_hybrid_v6,v122,2026102202,0,23793.0,23793.0,True,2,221,10,4,2,9,13,5,620,620,1.0,17,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v122\seed_2026102202_seat_0.json.gz,e08b21c11cfe3ebf6c3d34e38df65779775713221b6f82866eed580ba3254bef
spatial_hybrid_v6,v122,2026102202,1,19409.0,19409.0,True,2,,10,4,2,7,15,4,570,570,1.0,20,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v122\seed_2026102202_seat_1.json.gz,964ce21a60daa55707262175acc0580de8d7ddf0f97dc52cf64f9a83ba9cf9d6
spatial_hybrid_v6,v124,2026102201,0,17218.0,17218.0,True,2,,10,4,2,7,13,4,572,572,1.0,15,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v124\seed_2026102201_seat_0.json.gz,ddd85f4f05f695868941cc0f9d34f2406f6e42743dc7f9044a95e56bd4a6593a
spatial_hybrid_v6,v124,2026102201,1,10771.0,10771.0,True,2,220,10,4,2,7,30,4,712,712,1.0,20,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v124\seed_2026102201_seat_1.json.gz,05a7498082fe326261d1342319497adb70ab376de9650e112ecbb6179e1c90af
spatial_hybrid_v6,v124,2026102202,0,24264.0,24264.0,True,2,221,10,4,2,9,13,5,658,658,1.0,23,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v124\seed_2026102202_seat_0.json.gz,e36691b301e483d842b5b9f4eec62a1ba3dfec151fdbdcd93de404e89b81417b
spatial_hybrid_v6,v124,2026102202,1,19727.0,19727.0,True,2,,10,4,2,7,15,4,574,574,1.0,20,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v124\seed_2026102202_seat_1.json.gz,6c02369ccf065f57f437f2ecefdcd05e86dbef05ff971ec6889c1ba5731f3b56
