episode_id,opponent_rating,result,margin,net_WHEAT,net_FERTILIZER,net_WOOL,net_MILK,net_STRAWBERRY,net_TOMATO,net_CARROT,net_EGG,net_MELON,HIRE_saving,BUY_LAND_saving,residual
110862152,1737.9219,loss,-4805.0,-3136,394,-59,-1227,-909,0,-138,-264,0,534,0,0.0
110861042,1756.3235,loss,-5515.0,-3536,119,-2142,214,351,618,-79,16,0,-1076,0,0.0
110859930,1657.1433,loss,-7069.0,2334,-888,-7134,-1065,127,0,-11,0,0,-432,0,0.0
110858821,1826.7548,loss,-10751.0,-107,-1164,-7832,-778,-277,0,-60,-600,-543,610,0,0.0
110857714,1674.8142,loss,-1214.0,28,-95,75,-984,-214,0,-15,-9,0,0,0,0.0
110856620,1725.1821,loss,-5675.0,-2612,369,-1743,-1342,-917,0,-310,202,0,678,0,0.0
110855515,1743.3391,win,164.0,547,349,0,-752,317,0,-297,-144,0,144,0,0.0
110854412,1719.1384,win,1604.0,-13216,3076,-1775,898,6404,0,-1562,3405,4675,-301,0,0.0
110853291,1757.4463,loss,-394.0,1138,-656,-242,-418,-296,0,1364,-475,0,-809,0,0.0
110852459,1687.652,loss,-440.0,19,-84,-204,42,-255,0,22,20,0,0,0,0.0
110852197,1723.0778,win,387.0,-1819,119,3,709,-362,0,-2482,3253,0,966,0,0.0
110851086,1649.3314,win,8417.0,2541,-890,542,3544,648,0,2698,156,0,-822,0,0.0
110849976,1841.7481,loss,-5863.0,-3565,896,-612,496,172,0,-3395,-533,0,678,0,0.0
110848865,1669.5272,win,3873.0,455,-50,-33,-178,-367,0,4518,138,0,-610,0,0.0
110847763,1671.926,win,5042.0,1352,-740,561,2115,4,0,2059,157,0,-466,0,0.0
110846656,1709.771,win,357.0,108,-84,-674,-34,803,0,8,230,0,0,0,0.0
110845563,1634.3891,loss,-8273.0,-360,131,-13445,1100,-235,0,350,2974,47,1165,0,0.0
110844461,1640.3251,win,6623.0,511,-384,-203,-470,61,16778,6,-329,-1365,-3982,-4000,0.0
110843364,1815.9945,loss,-7492.0,777,-611,-2268,-1048,209,0,-237,-3793,0,-521,0,0.0
110842248,1778.9094,loss,-3108.0,-3089,297,-46,-915,-589,0,-613,881,0,966,0,0.0
110841067,1649.7777,loss,-1873.0,-58,-130,-1003,-467,-676,247,39,175,0,0,0,0.0
110839970,1671.6311,win,1942.0,2516,-223,100,-1055,461,0,503,-4,0,-356,0,0.0
110839669,1690.0602,loss,-16866.0,-4946,1007,23,114,-37,-19577,-724,-852,0,4126,4000,0.0
110838873,1683.6605,win,1437.0,48,-12,-37,1542,-54,0,44,-5,0,-89,0,0.0
110837769,1781.3602,loss,-177.0,1944,-1171,448,-1170,829,0,-471,-120,0,-466,0,0.0
110836675,1674.5518,loss,-667.0,3943,-861,-1222,-773,-1292,0,491,0,0,-953,0,0.0
110835574,1667.4793,win,5151.0,832,-303,478,4910,-332,0,-78,-267,0,-89,0,0.0
110834461,1771.9244,loss,-6159.0,-3545,535,-1350,-1680,305,0,-202,321,-1365,822,0,0.0
110833348,1621.1484,win,13878.0,4153,-1007,14030,656,1629,0,389,-3676,0,-2296,0,0.0
110832634,1724.0738,win,2387.0,2952,-1361,-837,-303,-71,0,3750,-523,0,-1220,0,0.0
110832243,1761.2878,win,82818.0,-3069,13074,38660,27668,8825,0,-678,-2094,1473,-1041,0,0.0
110831138,1708.9157,loss,-2377.0,-902,-141,-328,-705,-615,0,-109,245,0,178,0,0.0
110830032,1708.8147,loss,-1448.0,418,-635,-278,-107,-4,0,-13,-507,0,-322,0,0.0
110828917,1627.5295,win,327.0,49,108,-377,580,-23,0,4,-14,0,0,0,0.0
110827826,1686.6838,win,3271.0,3151,-154,-142,-227,816,0,455,-272,0,-356,0,0.0
110826721,1673.3625,win,4071.0,3604,-463,365,151,-33,0,526,277,0,-356,0,0.0
110825605,1557.3823,win,22609.0,-180,50,474,1809,2029,26104,15,2,0,-3694,-4000,0.0
110824511,1594.0889,loss,-49512.0,4664,-6696,-35351,-1982,-849,0,780,0,-10277,199,0,0.0
110823403,1532.2375,win,3343.0,28,-3,211,1503,1583,0,13,8,0,0,0,0.0
110822302,1534.2513,win,3027.0,8,32,62,672,2142,0,16,95,0,0,0,0.0
110823089,1495.6432,win,5498.0,5174,-1986,-1467,-52,803,0,3377,1280,0,-1631,0,0.0
110821194,1435.3518,win,5562.0,-415,825,1027,4935,-2119,0,26,-665,0,1948,0,0.0
110820072,1290.0002,win,9999.0,-2902,1200,1374,983,-1231,0,3430,4765,0,2380,0,0.0
110818985,1330.8244,win,6224.0,-3567,607,1580,339,31,0,1995,2914,0,2325,0,0.0
110817855,1416.4585,win,10229.0,-2554,1130,2865,2708,1240,0,2630,440,0,1770,0,0.0
110816755,1021.6874,win,22195.0,-4290,3902,4304,6778,-1499,0,2394,4106,2974,3526,0,0.0
110815723,1248.5693,win,8524.0,-2239,6657,-4183,5248,-3205,11687,-157,-1792,4848,-4340,-4000,0.0
110814569,1084.2841,loss,-9037.0,1111,-267,-3357,-79,-2069,-11270,77,0,0,2817,4000,0.0
110814566,1279.2762,win,9905.0,-4839,6171,-201,4422,10213,-4555,875,-1528,-425,-228,0,0.0
110813491,1028.7003,win,12115.0,-4005,3882,-1952,4119,-4880,0,3895,4575,2955,3526,0,0.0
110812419,722.051,win,41719.0,15920,3382,2605,8156,-1707,0,2923,3311,3356,3773,0,0.0
110811334,738.0437,win,52054.0,9980,3641,22229,113,5820,0,3775,0,3265,3231,0,0.0
110810180,823.6749,win,42105.0,5174,4965,2453,6898,5050,0,5979,3749,2734,5103,0,0.0
110809121,569.2362,win,64600.0,1123,9722,17102,2771,24355,-1910,2531,1953,5161,3792,-2000,0.0
111057969,1505.7834,loss,-14755.0,-3551,2740,-89,3833,-6175,1577,-6162,-4178,3933,-2683,-4000,0.0
111055792,1595.2029,loss,-3387.0,40,1873,-14989,-638,6323,-882,2417,-226,218,2477,0,0.0
111051413,1577.1457,win,380.0,28,-123,-145,-226,858,0,-2,-10,0,0,0,0.0
111046517,1588.7398,loss,-62427.0,6043,-9658,-12860,-18403,-13393,0,567,-4430,-9560,-733,0,0.0
111043849,1470.6552,win,2453.0,-5889,13116,-1992,4740,-3277,-3587,-4457,1522,2109,168,0,0.0
111042316,1525.235,loss,-8567.0,-2288,691,-9591,348,-355,-286,-1491,3185,0,1220,0,0.0
111031799,1517.1399,win,316.0,-2021,644,289,-472,623,0,3431,-4524,0,2346,0,0.0
111007532,1504.0513,loss,-46970.0,6340,-6147,-30673,-5399,-2948,0,736,0,-9133,254,0,0.0
111004321,1538.473,win,14682.0,-168,1446,336,18471,-840,0,-2287,-3211,346,589,0,0.0
110981978,1623.3618,loss,-7041.0,-2719,1126,-91,-264,73,154,-5574,-267,0,521,0,0.0
110967571,1586.7192,win,17056.0,-626,-521,462,15237,1091,0,2080,-201,0,-466,0,0.0
110965262,1637.8042,loss,-14590.0,-2005,60,-16036,-1563,1424,8256,-40,2898,0,-3584,-4000,0.0
110946332,1605.4965,loss,-30612.0,4711,-8492,-7493,-5798,-1869,0,-6354,-4565,-612,-140,0,0.0
110941017,1649.4213,win,3061.0,3178,-196,-124,14,15,0,618,-88,0,-356,0,0.0
110925497,1537.9055,win,1584.0,185,189,611,268,316,0,15,0,0,0,0,0.0
110920547,1567.67,win,3043.0,-105,-141,1007,272,1997,0,13,0,0,0,0,0.0
110910760,1566.1768,win,3664.0,2904,-152,89,-197,738,0,641,-3,0,-356,0,0.0
110904914,1570.4898,loss,-5647.0,-6156,2951,-2953,-3748,3384,-4523,631,-512,3980,1299,0,0.0
110903786,1580.172,win,4858.0,3389,-104,-146,497,1151,0,487,-60,0,-356,0,0.0
110902679,1484.9023,win,4115.0,-250,53,1476,599,2133,0,104,0,0,0,0,0.0
110901579,1469.296,win,5843.0,1197,-331,771,5106,-1128,0,-7,259,65,-89,0,0.0
110900468,1521.22,win,1473.0,37,83,-109,1125,320,0,15,2,0,0,0,0.0
110899382,1547.1852,win,1699.0,36,14,447,322,854,0,15,11,0,0,0,0.0
110898287,1559.4483,win,5462.0,2650,-256,1969,1215,1543,0,734,-206,-1365,-822,0,0.0
110897185,1495.3159,win,3098.0,-1000,-328,4,1007,1431,0,97,1887,0,0,0,0.0
110896084,1574.778,loss,-4303.0,-336,-160,-1845,-819,-1500,0,7,350,0,0,0,0.0
110894976,1587.2557,win,5360.0,476,-15,488,3231,935,0,35,210,0,0,0,0.0
110893876,1598.965,loss,-283.0,-119,163,-7,314,-1070,0,208,228,0,0,0,0.0
110892775,1590.1072,win,615.0,-6,-43,76,762,-395,0,157,64,0,0,0,0.0
110891678,1529.0056,win,2125.0,372,-317,-431,516,1598,0,33,354,0,0,0,0.0
110890568,1459.166,win,21853.0,-1304,981,2713,6916,1425,16778,100,74,1769,-3599,-4000,0.0
110889465,1489.4667,win,1887.0,-34,220,341,1066,59,0,67,168,0,0,0,0.0
110888363,1603.1559,win,13810.0,-3264,380,25305,76,-2071,0,-1097,-4836,-47,-636,0,0.0
110887270,1497.8355,win,2452.0,18,-45,-189,1255,1460,0,-49,2,0,0,0,0.0
110886175,1523.5673,loss,-4435.0,4372,-793,-7874,-291,249,0,931,0,47,-1076,0,0.0
110885069,1408.6468,win,3567.0,-3323,1011,-79,1319,140,0,2722,7,0,1770,0,0.0
110883974,1392.0031,win,10384.0,-951,-595,-9894,17987,1060,0,-50,2751,0,76,0,0.0
110882874,1461.812,win,4171.0,3261,181,1031,-1064,-624,12683,-1774,-3311,0,-2212,-4000,0.0
110881767,1579.1528,loss,-5559.0,-2306,167,-3548,-1137,325,0,207,0,47,686,0,0.0
110880660,1651.3773,loss,-670.0,-1416,188,-2394,2892,17,0,-335,22,0,356,0,0.0
110879542,1578.9354,loss,-25981.0,-3785,1045,685,-12450,-1123,-20816,-473,2721,0,4215,4000,0.0
110879186,1487.1776,loss,-6369.0,3057,-1033,-5252,87,-1581,-2802,-3047,0,5171,-969,0,0.0
110878430,1411.7655,win,6808.0,-319,832,-71,316,889,0,3439,308,0,1414,0,0.0
110877591,1490.0475,win,1826.0,-14,175,42,454,748,0,70,351,0,0,0,0.0
110876240,1442.1887,win,2769.0,-2514,1690,-7252,3048,2632,-374,2054,0,3770,-285,0,0.0
110877321,1474.1065,win,2555.0,-2909,1734,-347,1993,-85,-5934,29,471,0,3603,4000,0.0
110875120,1389.5559,win,23933.0,-1190,-813,29955,1492,-589,0,-278,-3445,0,-1199,0,0.0
110874008,1591.8639,loss,-247.0,-3247,585,-134,-357,747,0,2465,-395,0,89,0,0.0
110872911,1554.6036,loss,-3324.0,531,-274,-934,369,-2898,0,-9,-109,0,0,0,0.0
110872835,1490.109,loss,-1853.0,-2007,-114,36,255,-94,0,-92,163,0,0,0,0.0
110871815,1507.6744,loss,-20843.0,7179,11323,-2728,3537,-15368,-7328,-16608,2541,-59,668,-4000,0.0
110869619,1430.5529,win,3142.0,1152,1187,1900,362,1592,0,-140,-4493,58,1524,0,0.0
110870709,1414.8903,win,6164.0,-355,750,-4768,2590,949,0,2135,3483,0,1380,0,0.0
110868497,1534.1428,win,11855.0,-4857,1387,-78,3479,-3519,21862,-259,-736,0,-1424,-4000,0.0
110867399,1480.6062,loss,-194.0,-3691,695,-424,5545,1359,0,-550,-3898,0,770,0,0.0
110866288,1421.4168,win,15154.0,2654,1014,-69,3169,642,14628,-1091,131,0,-1924,-4000,0.0
110864920,1490.5059,loss,-13084.0,2573,-2119,-23551,272,-1060,0,-19,0,0,6820,4000,0.0
110865195,1462.2192,win,5239.0,21,277,1527,2511,726,0,2,175,0,0,0,0.0
110864082,1439.0984,win,11391.0,-1183,1209,5856,2675,2034,0,-345,-803,0,1948,0,0.0
110862981,1410.7237,win,74861.0,177,12219,14072,36045,10508,0,-2375,3701,-346,860,0,0.0
110861891,1363.4994,win,9133.0,-2238,1127,1986,1864,-1721,0,2799,3114,0,2202,0,0.0
110860774,1332.8042,win,4520.0,1477,141,-1695,2465,1054,0,-3270,2929,47,1372,0,0.0
110859668,1358.7248,win,8165.0,-2678,1672,-288,-677,1728,0,2290,3481,58,2579,0,0.0
110858561,1377.5873,win,10179.0,-1165,-125,-1333,2529,-1464,0,7635,2544,0,1558,0,0.0
110857464,1312.4944,win,11431.0,-2971,1175,1374,831,1134,0,3068,4440,0,2380,0,0.0
110856362,1233.5354,win,9931.0,-848,1238,-510,3793,1048,0,-41,3633,246,1372,0,0.0
110855271,1202.3263,win,35008.0,2704,40,-285,532,1989,0,25614,2952,281,1181,0,0.0
110854151,1136.1993,win,13711.0,-5735,2874,-1241,6497,3020,0,3166,3718,281,1131,0,0.0
110853044,1083.7554,win,28339.0,4224,2334,791,2876,3301,6791,8081,3120,2456,-1635,-4000,0.0
110851954,1094.4347,win,21824.0,9064,-348,3723,1381,6191,0,1126,-4311,4270,728,0,0.0
110850849,1409.6108,loss,-5592.0,-4384,334,-864,489,-1295,0,-579,0,-47,754,0,0.0
110849706,988.4342,win,30432.0,163,1913,3035,3985,3124,25890,-108,332,-2732,-1170,-4000,0.0
110848604,858.7059,win,27762.0,7105,3285,1623,2701,-3863,8440,6580,5644,3041,-2794,-4000,0.0
110847478,985.5437,win,20366.0,-1364,3435,-1811,5233,1784,0,3042,3922,2955,3170,0,0.0
110847498,878.4078,loss,-7730.0,-919,947,3302,-857,1013,0,-4888,-7003,-346,1021,0,0.0
110846384,805.0731,win,48564.0,5265,4617,3043,3067,6734,17772,4276,3647,2734,1409,-4000,0.0
110845309,879.2372,win,32369.0,6635,7353,1796,6698,4138,0,9,-545,2431,3854,0,0.0
110844225,674.8104,win,34579.0,773,10610,-1950,4193,2992,0,2846,3854,6593,4668,0,0.0
110843156,669.9084,win,57110.0,-6057,15556,1625,22542,14020,0,2402,3136,4309,-423,0,0.0
