sequence,episode_id,create_time,seat,opponent_submission_id,opponent_team_name,result,self_final_coin,opponent_final_coin,margin,self_initial_rating,self_updated_rating,opponent_initial_rating,rating_gap_opponent_minus_self,gate_cohort,gate_reason,opponent_h200,opponent_h719,live_action_family
23,104514450,2026-09-01T07:22:26.206087900Z,0,55800011,yy li,win,60910.0,46513.0,14397.0,1509.4849896871872,1533.554914684263,1601.2903155007864,91.80532581359921,B_trigger_but_no_incremental_conversion,already_satisfied_by_v111_route,27a5b6aae489cc2c5cda,b8b4edcb9f81208640a1,live_action_family_5bc3665acac8
24,104514883,2026-09-01T07:26:26.567606800Z,0,55778582,vineet dairashri,loss,80426.0,94238.0,-13812.0,1533.554914684263,1514.4086599032794,1493.2268645612776,-40.32805012298536,A_gate_non_trigger,{'below-tilt': 1},03199ab7414fe4c9cc59,3169dcfe2f294ce5351d,live_action_family_655354e87169
25,104515036,2026-09-01T07:26:26.778944500Z,0,55698959,Glenn Dalbey,win,52916.0,51322.0,1594.0,1514.4086599032794,1530.7599183924222,1526.0284927952357,11.619832891956321,A_gate_non_trigger,{'below-tilt': 1},49995d5d9812e66a99b8,08ad8ea34e8513488964,live_action_family_833fe598459a
26,104515324,2026-09-01T07:30:28.537131400Z,0,55524652,Hax2456,win,66206.0,60494.0,5712.0,1530.7599183924222,1544.3457855150575,1506.3945034929588,-24.365414899463303,A_gate_non_trigger,{'below-tilt': 1},49995d5d9812e66a99b8,a10ab6c99e3e97310385,live_action_family_9b5613567ccf
27,104515754,2026-09-01T07:34:26.365335500Z,0,55706559,bird,win,74519.0,73563.0,956.0,1544.3457855150575,1562.302963143673,1616.8122194776613,72.46643396260379,B_trigger_but_no_incremental_conversion,already_satisfied_by_v111_route,acef3a14208c9e89eb5d,daa9bd32d83f4240b2c9,live_action_family_47c1ac73608d
28,104516184,2026-09-01T07:38:26.514207100Z,0,55667901,Yong Ming-Jia,win,67978.0,60603.0,7375.0,1562.302963143673,1573.653892472112,1518.4620681450886,-43.84089499858442,A_gate_non_trigger,{'below-tilt': 1},49995d5d9812e66a99b8,4b6eda292549b58364e5,live_action_family_0ca929fd7317
29,104516622,2026-09-01T07:42:26.300075400Z,1,55925703,Mohit Babel,loss,67182.0,82530.0,-15348.0,1573.653892472112,1560.7488453664635,1570.3229023479118,-3.3309901242000706,A_gate_non_trigger,{'below-tilt': 1},c15a25d503516835113a,266cc8c1c2d09a9df649,live_action_family_aa414ff7e385
30,104517056,2026-09-01T07:46:26.116414Z,1,55858432,souju00,win,58229.0,51470.0,6759.0,1560.7488453664635,1574.375800736778,1591.8342890190586,31.08544365259513,A_gate_non_trigger,{'below-tilt': 1},81b496766e1afd45eaab,698bf638ce4716ce419a,live_action_family_3602122dae7f
31,104517491,2026-09-01T07:50:28.263429500Z,0,55846218,LumenLiquidity,win,91958.0,68540.0,23418.0,1574.375800736778,1584.7249242800694,1541.5005107711206,-32.87528996565743,B_trigger_but_no_incremental_conversion,cash_reserve_revalidation_failed,7fd94824feebc608fde8,36bd9bd6045a963399e8,live_action_family_43be49ffb4db
32,104517922,2026-09-01T07:54:26.811870100Z,0,55933381,tatt:)ch,win,92317.0,90954.0,1363.0,1584.7249242800694,1593.3357961081383,1520.5849732212394,-64.13995105883009,C_actual_incremental_conversion,incremental_cow2_to_sheep2_rewrite,d51a01c5c067eab347a2,ce663b34c894b85f5af1,live_action_family_28125b45a6ce
33,104518362,2026-09-01T07:58:26.272366900Z,0,55897714,Maher el Ouahabi,win,68911.0,66800.0,2111.0,1593.3357961081383,1600.663937541493,1494.6453040780775,-98.6904920300608,A_gate_non_trigger,{'below-tilt': 1},a78a4faddfbc93f418fa,52cd416bbb556bbe8aed,live_action_family_e3f2823b5bf8
34,104518852,2026-09-01T08:02:26.581852200Z,0,55595396,lemon13418,win,112172.0,98186.0,13986.0,1600.663937541493,1609.1914468980779,1545.443712344641,-55.22022519685197,A_gate_non_trigger,{'below-tilt': 1},f4f451a9691696ad6ffa,2798251d9eafb4982fb4,live_action_family_8f78355593ca
35,104519214,2026-09-01T08:06:30.065979400Z,0,55742890,Yanxi Jiang,win,110888.0,100724.0,10164.0,1609.1914468980779,1619.0194151907176,1599.682189841468,-9.50925705660984,A_gate_non_trigger,{'below-tilt': 1},d51a01c5c067eab347a2,e7d7dfa75c2060efb395,live_action_family_e153d0d35dd9
36,104519654,2026-09-01T08:10:27.703854300Z,0,55890529,Alexander Shahramanyan,win,84619.0,69976.0,14643.0,1619.0194151907176,1627.6442356171997,1584.3936786205131,-34.62573657020448,A_gate_non_trigger,{'below-tilt': 1},3cf3aa65e9e81948cc40,8620a0437e805b6f5986,live_action_family_6a6e88a09a0f
37,104520088,2026-09-01T08:14:26.268004500Z,1,55909352,HASNAIN HAIDER,win,90380.0,82351.0,8029.0,1627.6442356171997,1637.3795963381745,1634.553881093775,6.909645476575406,A_gate_non_trigger,{'below-tilt': 1},27a5b6aae489cc2c5cda,cb8815f20438af8cfed4,live_action_family_c7bc4e334b88
38,104520529,2026-09-01T08:18:26.005898400Z,0,55926765,Yiheng Wang,win,64257.0,54382.0,9875.0,1637.3795963381745,1643.8798309908343,1551.003307645053,-86.37628869312152,A_gate_non_trigger,{'below-tilt': 1},d51a01c5c067eab347a2,68c70ff807c8f178a0a4,live_action_family_3aea7b05b40c
39,104521034,2026-09-01T08:22:26.181160900Z,0,55861952,The Great Alliance,loss,125968.0,127389.0,-1421.0,1643.8798309908343,1635.192479388996,1651.3160469152838,7.4362159244494705,A_gate_non_trigger,{'below-tilt': 1},6f9393839e94ae1a374f,8415a8b095820bca33b0,live_action_family_ee561d3ba550
40,104521384,2026-09-01T08:26:26.478960700Z,0,55931639,Hosuke,win,81158.0,77639.0,3519.0,1635.192479388996,1644.0613431927445,1643.6320488201677,8.439569431171776,B_trigger_but_no_incremental_conversion,already_satisfied_by_v111_route,ffdee8907366a561f874,eb8b21b7392342381dc5,live_action_family_b14f1f163b10
41,104521818,2026-09-01T08:30:28.198140800Z,1,55918910,Berat Egemen Gök,loss,92473.0,93572.0,-1099.0,1644.0613431927445,1636.3533605258747,1666.711919284109,22.650576091364428,B_trigger_but_no_incremental_conversion,baseline_purchase_slot_absent,423d0de7237b3f5ddfe5,b2d10a72ac0c359ed8bd,live_action_family_e2fa8026bc1c
42,104522258,2026-09-01T08:34:28.058047Z,0,55934880,Dannya AbdulHadi,loss,62958.0,75145.0,-12187.0,1636.3533605258747,1632.139506810307,1758.8858162597924,122.53245573391769,B_trigger_but_no_incremental_conversion,already_satisfied_by_v111_route,267a472b692b9bab1364,54db611b2480dfa4a2f3,live_action_family_c99d584f3048
43,104522745,2026-09-01T08:38:27.761472500Z,1,55919338,Mikhail Karchevskiy,win,91251.0,74635.0,16616.0,1632.139506810307,1642.9264971207633,1721.0033422398699,88.86383542956287,B_trigger_but_no_incremental_conversion,cash_reserve_revalidation_failed,04476889f1a05fe5d209,c21d419b34199f5f99e7,live_action_family_7fe270250e84
44,104523123,2026-09-01T08:42:26.283461600Z,0,55834906,Jiang,win,107016.0,95693.0,11323.0,1642.9264971207633,1650.8778399310957,1649.0971984274038,6.170701306640467,A_gate_non_trigger,{'below-tilt': 1},bb35cf307c616d31c6c3,f55b269a4c1346770cc4,live_action_family_a87a67931c5f
45,104523554,2026-09-01T08:46:26.483121500Z,1,55934907,Michael Shihong Zhang,loss,94074.0,103782.0,-9708.0,1650.8778399310957,1643.4840140526705,1638.0749012785836,-12.802938652512012,B_trigger_but_no_incremental_conversion,cash_reserve_revalidation_failed,3d38963a54d8ff751f39,6b5b43e07876ebf53e58,live_action_family_d6458c328a93
46,104523977,2026-09-01T08:50:36.689595200Z,0,55666707,darktetradgod,win,79504.0,65169.0,14335.0,1643.4840140526705,1650.982411321902,1647.955280677798,4.471266625127555,A_gate_non_trigger,{'below-tilt': 1},d51a01c5c067eab347a2,13138d68ee1f8772088d,live_action_family_447a4b0b7d3e
47,104524436,2026-09-01T08:54:30.017373Z,1,55699908,Jun AKita,win,130777.0,122565.0,8212.0,1650.982411321902,1656.3216407045195,1575.6491984876332,-75.3332128342688,A_gate_non_trigger,{'below-tilt': 1},d51a01c5c067eab347a2,396bf0e66fafb0510b7f,live_action_family_e4b7e266d09a
48,104524863,2026-09-01T08:58:26.699190400Z,0,55804049,Diavolo,loss,79790.0,85371.0,-5581.0,1656.3216407045195,1649.2390799007292,1653.9888375937173,-2.3328031108021605,A_gate_non_trigger,{'below-tilt': 1},d5bdd25c3a99199ebafd,bef966229701a108ed9b,live_action_family_884ff324c710
49,104525309,2026-09-01T09:02:30.226976500Z,0,55735232,Jasper Turnidge,win,44445.0,41146.0,3299.0,1649.2390799007292,1655.9851355474184,1645.1943719574147,-4.044707943314506,A_gate_non_trigger,{'below-tilt': 1},51cf8ad81fc17c7665de,66286024491c1f8a7d53,live_action_family_4f1df6a6d176
50,104525745,2026-09-01T09:06:30.007205200Z,0,55520308,uri_kkyhr,loss,80108.0,82525.0,-2417.0,1655.9851355474184,1649.7943693889506,1676.455356752111,20.470221204692507,A_gate_non_trigger,{'below-tilt': 1},2bc53a8b1274051a57e7,e0f2abdf660d0de9aa75,live_action_family_edf545263751
51,104526194,2026-09-01T09:10:27.079079500Z,1,55723177,ChrisLeiteScha,win,134743.0,126964.0,7779.0,1649.7943693889506,1656.228903583815,1645.9298699563383,-3.8644994326123197,A_gate_non_trigger,{'below-tilt': 1},0d4c7daa4d743853756c,8f0a09c996dd50e9d172,live_action_family_e15812197b25
52,104526676,2026-09-01T09:14:27.660728700Z,0,55726762,Pavlo Ivanin,win,96200.0,94611.0,1589.0,1656.228903583815,1663.3670719052525,1688.3327870584556,32.1038834746405,B_trigger_but_no_incremental_conversion,cash_reserve_revalidation_failed,b3761bda0edabb20b067,09850ad5bae4f3b65b3d,live_action_family_f2ce33ee005d
53,104526928,2026-09-01T09:18:26.370715Z,1,55934129,Lumberjacks,loss,63538.0,66854.0,-3316.0,1663.3670719052525,1657.8686108876707,1691.4896192587232,28.122547353470736,A_gate_non_trigger,{'out-of-support': 1},698adb994d9421edded2,901e0632980806aa89c2,live_action_family_75460433dc78
54,104532282,2026-09-01T10:06:26.469032100Z,0,55813308,Rohit Raj Singh,loss,70099.0,75591.0,-5492.0,1657.8686108876707,1652.2891846445063,1681.5284300239828,23.65981913631208,A_gate_non_trigger,{'below-tilt': 1},d5bdd25c3a99199ebafd,24d6baeef08a1d199656,live_action_family_eda9b7716d93
55,104536598,2026-09-01T10:46:26.755457300Z,1,55774885,Triston Morgan,win,113674.0,111259.0,2415.0,1652.2891846445063,1659.3069423571108,1698.9483931263917,46.659208481885344,B_trigger_but_no_incremental_conversion,already_satisfied_by_v111_route,d5bdd25c3a99199ebafd,931aaec729b1b7795ab8,live_action_family_855414acaed9
56,104536856,2026-09-01T10:50:26.803295600Z,1,55936080,Kenjo1209,win,105106.0,93108.0,11998.0,1659.3069423571108,1664.8160334215277,1651.025706048872,-8.281236308238704,A_gate_non_trigger,{'below-tilt': 1},3e6a8db6011484010d6e,1489b669cf6a0b34e63f,live_action_family_d0a4d611dc83
57,104549591,2026-09-01T12:46:27.485354600Z,0,55932662,kuroko1t,win,98654.0,95167.0,3487.0,1664.8160334215277,1670.3184185181092,1655.4586330391255,-9.357400382402147,A_gate_non_trigger,{'below-tilt': 1},5d568caa1882980fe24a,36d763bc4214cbf91e4b,live_action_family_641759dee6a6
58,104554452,2026-09-01T13:38:24.022114900Z,1,55940239,Benjamin H Pepper,win,102436.0,95129.0,7307.0,1670.3184185181092,1676.0258139483012,1798.4773761924548,128.15895767434563,A_gate_non_trigger,{'below-tilt': 1},267a472b692b9bab1364,b3a45555878486b2bdaf,live_action_family_33dc6f00e87a
