opponent_id,seed,seat,self_cash,opp_cash,margin,outcome,opportunities,selected_forks,replay,replay_sha256
metav4,2026092415,0,112112.0,110585.0,1527.0,1,67,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/metav4/seed_2026092415_seat_0.json.gz,7f31b79441b1224f77a7c274f943a9d9844f5ddda16160c4cb2ac514d5fdcdff
metav4,2026092415,1,112112.0,110585.0,1527.0,1,67,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/metav4/seed_2026092415_seat_1.json.gz,36f0650cca44495eecc89fc6fbe541ae1d7b6dabdd83235732c1c39a04409bce
melon_threshold,2026092413,0,110152.0,107243.0,2909.0,1,19,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/melon_threshold/seed_2026092413_seat_0.json.gz,b18e0559ffefc0c595c2551bc8b5b2cf1f2b3da0565696f3bde94b2f6bcc3817
melon_threshold,2026092413,1,110152.0,107243.0,2909.0,1,19,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/melon_threshold/seed_2026092413_seat_1.json.gz,677f9a391703de0f250efbbf91e6b40360ca21c50644b5afb44cfb2e6397901c
melon_threshold,2026092414,0,97035.0,94046.0,2989.0,1,69,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/melon_threshold/seed_2026092414_seat_0.json.gz,403afadfde963ac73d9c6f6043d0d4afed46daef668e421c09412b0eb0854759
melon_threshold,2026092414,1,97035.0,94046.0,2989.0,1,69,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/melon_threshold/seed_2026092414_seat_1.json.gz,141bd3031f9da74e85f04d14b443d0743e8eb462e48c55f9f01a16249fb3ec84
melon_threshold,2026092415,0,111585.0,110141.0,1444.0,1,67,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/melon_threshold/seed_2026092415_seat_0.json.gz,febeaa121a0833102cba1c1accd8c95b8392a63475ed77a68403f1bd43f92ac1
melon_threshold,2026092415,1,111585.0,110141.0,1444.0,1,67,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/melon_threshold/seed_2026092415_seat_1.json.gz,004b3e8d7d04f43cf0c457a96b0fe6c8baa1e824b21392c09f592ab4dc274eb1
qeinstein_moev2,2026092413,0,80957.0,64387.0,16570.0,1,14,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/qeinstein_moev2/seed_2026092413_seat_0.json.gz,236f8b1b2774d243968fdb9e7c1bd2db897e179c117374eb9082228f827b26de
qeinstein_moev2,2026092413,1,80957.0,64387.0,16570.0,1,14,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/qeinstein_moev2/seed_2026092413_seat_1.json.gz,229af08464fe58fabb2df77f3ebdffc9420ea03f97131a073fd98bb7cc147f07
qeinstein_moev2,2026092414,0,116531.0,99837.0,16694.0,1,84,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/qeinstein_moev2/seed_2026092414_seat_0.json.gz,491d778af5a40f9efa66aea8f1793328204e76afb4c44efb8f94ffc76b80a26c
qeinstein_moev2,2026092414,1,116531.0,99837.0,16694.0,1,84,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/qeinstein_moev2/seed_2026092414_seat_1.json.gz,561e4602a1b76ee9a36cd4be2e5b5fbb21a075ee8be677770368ac362de7644e
qeinstein_moev2,2026092415,0,92078.0,82797.0,9281.0,1,68,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/qeinstein_moev2/seed_2026092415_seat_0.json.gz,4abab501c05923985d303008848115bb5289088de7c7bb8fbe08a4d0fad24829
qeinstein_moev2,2026092415,1,92078.0,82797.0,9281.0,1,68,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/qeinstein_moev2/seed_2026092415_seat_1.json.gz,02d092c511616f879f16b891fd33c579044ae4cc2d484e3dbf797061e2d89ab5
