panel,arm,opponent,seed,seat,baseline_margin,candidate_margin,transition,delta_points,delta_margin,delta_self_cash,delta_opp_cash,first_action_change,first_field_change,first_shop_change,first_difference,metric_mismatches,full_trajectory_identical,own_action_changed_decisions,own_field_changed_decisions,own_market_changed_decisions,opponent_action_changed_decisions,observations_changed_decisions
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609246,0,0.0,1388.0,T->W,0.5,1388.0,802.0,-586.0,500.0,627.0,,"[{""step"": 500, ""baseline_market"": [[""BUY_SEED"", ""CARROT"", 1]], ""candidate_market"": [[""SELL"", ""WOOL"", 5], [""SELL"", ""MILK"", 2], [""BUY_SEED"", ""CARROT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 38, ""CARROT"": 55, ""TOMATO"": 69, ""STRAWBERRY"": 147, ""MELON"": 99, ""EGG"": 51, ""MILK"": 28, ""WOOL"": 151, ""FERTILIZER"": 31}, ""shed"": {""WHEAT"": 19, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 3, ""MILK"": 2, ""WOOL"": 5, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,23,3,20,20,218
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609246,1,0.0,1388.0,T->W,0.5,1388.0,802.0,-586.0,500.0,627.0,,"[{""step"": 500, ""baseline_market"": [[""BUY_SEED"", ""CARROT"", 1]], ""candidate_market"": [[""SELL"", ""WOOL"", 5], [""SELL"", ""MILK"", 2], [""BUY_SEED"", ""CARROT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 38, ""CARROT"": 55, ""TOMATO"": 69, ""STRAWBERRY"": 147, ""MELON"": 99, ""EGG"": 51, ""MILK"": 28, ""WOOL"": 151, ""FERTILIZER"": 31}, ""shed"": {""WHEAT"": 19, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 3, ""MILK"": 2, ""WOOL"": 5, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,23,3,20,20,218
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609247,0,0.0,241.0,T->W,0.5,241.0,-8.0,-249.0,385.0,396.0,,"[{""step"": 385, ""baseline_market"": [[""SELL"", ""FERTILIZER"", 9], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""candidate_market"": [[""SELL"", ""FERTILIZER"", 9], [""SELL"", ""WOOL"", 11], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 41, ""CARROT"": 46, ""TOMATO"": 72, ""STRAWBERRY"": 168, ""MELON"": 89, ""EGG"": 54, ""MILK"": 34, ""WOOL"": 11, ""FERTILIZER"": 48}, ""shed"": {""WHEAT"": 25, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 2, ""MILK"": 0, ""WOOL"": 11, ""FERTILIZER"": 11, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,26,5,22,28,333
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609247,1,0.0,241.0,T->W,0.5,241.0,-8.0,-249.0,385.0,396.0,,"[{""step"": 385, ""baseline_market"": [[""SELL"", ""FERTILIZER"", 9], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""candidate_market"": [[""SELL"", ""FERTILIZER"", 9], [""SELL"", ""WOOL"", 11], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 41, ""CARROT"": 46, ""TOMATO"": 72, ""STRAWBERRY"": 168, ""MELON"": 89, ""EGG"": 54, ""MILK"": 34, ""WOOL"": 11, ""FERTILIZER"": 48}, ""shed"": {""WHEAT"": 25, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 2, ""MILK"": 0, ""WOOL"": 11, ""FERTILIZER"": 11, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,26,5,22,28,333
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609248,0,107.0,-311.0,W->L,-1.0,-418.0,-100.0,318.0,511.0,533.0,,"[{""step"": 511, ""baseline_market"": [[""SELL"", ""WHEAT"", 2], [""BUY_SEED"", ""WHEAT"", 1]], ""candidate_market"": [[""SELL"", ""WOOL"", 4], [""SELL"", ""WHEAT"", 2], [""BUY_SEED"", ""WHEAT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 35, ""CARROT"": 56, ""TOMATO"": 65, ""STRAWBERRY"": 182, ""MELON"": 101, ""EGG"": 51, ""MILK"": 34, ""WOOL"": 5, ""FERTILIZER"": 26}, ""shed"": {""WHEAT"": 2, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 4, ""WOOL"": 4, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,34,9,28,36,207
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609248,1,-107.0,-525.0,L->L,0.0,-418.0,-100.0,318.0,511.0,533.0,,"[{""step"": 511, ""baseline_market"": [[""BUY_SEED"", ""WHEAT"", 1]], ""candidate_market"": [[""SELL"", ""WOOL"", 4], [""BUY_SEED"", ""WHEAT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 35, ""CARROT"": 56, ""TOMATO"": 65, ""STRAWBERRY"": 182, ""MELON"": 101, ""EGG"": 51, ""MILK"": 34, ""WOOL"": 5, ""FERTILIZER"": 26}, ""shed"": {""WHEAT"": 0, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 4, ""WOOL"": 4, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,34,9,28,36,207
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609249,0,0.0,-202.0,T->L,-0.5,-202.0,-726.0,-524.0,385.0,603.0,,"[{""step"": 385, ""baseline_market"": [[""SELL"", ""FERTILIZER"", 9], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""candidate_market"": [[""SELL"", ""FERTILIZER"", 9], [""SELL"", ""WOOL"", 5], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 42, ""CARROT"": 36, ""TOMATO"": 72, ""STRAWBERRY"": 180, ""MELON"": 89, ""EGG"": 55, ""MILK"": 139, ""WOOL"": 11, ""FERTILIZER"": 48}, ""shed"": {""WHEAT"": 24, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 2, ""MILK"": 0, ""WOOL"": 5, ""FERTILIZER"": 11, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,31,1,30,29,333
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609249,1,0.0,-202.0,T->L,-0.5,-202.0,-726.0,-524.0,385.0,603.0,,"[{""step"": 385, ""baseline_market"": [[""SELL"", ""FERTILIZER"", 9], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""candidate_market"": [[""SELL"", ""FERTILIZER"", 9], [""SELL"", ""WOOL"", 5], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 42, ""CARROT"": 36, ""TOMATO"": 72, ""STRAWBERRY"": 180, ""MELON"": 89, ""EGG"": 55, ""MILK"": 139, ""WOOL"": 11, ""FERTILIZER"": 48}, ""shed"": {""WHEAT"": 24, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 2, ""MILK"": 0, ""WOOL"": 5, ""FERTILIZER"": 11, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,31,1,30,29,333
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609250,0,117.0,2310.0,W->W,0.0,2193.0,1274.0,-919.0,303.0,560.0,,"[{""step"": 303, ""baseline_market"": [[""BUY_SEED"", ""WHEAT"", 1]], ""candidate_market"": [[""SELL"", ""MILK"", 6], [""BUY_SEED"", ""WHEAT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 39, ""CARROT"": 46, ""TOMATO"": 62, ""STRAWBERRY"": 155, ""MELON"": 78, ""EGG"": 54, ""MILK"": 70, ""WOOL"": 93, ""FERTILIZER"": 64}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 6, ""WOOL"": 0, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,36,3,33,41,415
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609250,1,-117.0,2076.0,L->W,1.0,2193.0,1274.0,-919.0,303.0,560.0,,"[{""step"": 303, ""baseline_market"": [[""BUY_SEED"", ""WHEAT"", 1]], ""candidate_market"": [[""SELL"", ""MILK"", 6], [""BUY_SEED"", ""WHEAT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 39, ""CARROT"": 46, ""TOMATO"": 62, ""STRAWBERRY"": 155, ""MELON"": 78, ""EGG"": 54, ""MILK"": 70, ""WOOL"": 93, ""FERTILIZER"": 64}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 6, ""WOOL"": 0, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,36,3,33,41,415
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609251,0,0.0,440.0,T->W,0.5,440.0,139.0,-301.0,151.0,,,"[{""step"": 151, ""baseline_market"": [[""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""candidate_market"": [[""SELL"", ""WOOL"", 2], [""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 32, ""CARROT"": 37, ""TOMATO"": 63, ""STRAWBERRY"": 165, ""MELON"": 268, ""EGG"": 50, ""MILK"": 186, ""WOOL"": 190, ""FERTILIZER"": 90}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 2, ""FERTILIZER"": 1, ""GOOSE"": 0, ""COW"": 2, ""SHEEP"": 0}}]",,False,8,0,8,4,567
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609251,1,0.0,440.0,T->W,0.5,440.0,139.0,-301.0,151.0,,,"[{""step"": 151, ""baseline_market"": [[""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""candidate_market"": [[""SELL"", ""WOOL"", 2], [""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 32, ""CARROT"": 37, ""TOMATO"": 63, ""STRAWBERRY"": 165, ""MELON"": 268, ""EGG"": 50, ""MILK"": 186, ""WOOL"": 190, ""FERTILIZER"": 90}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 2, ""FERTILIZER"": 1, ""GOOSE"": 0, ""COW"": 2, ""SHEEP"": 0}}]",,False,8,0,8,4,567
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609252,0,0.0,3.0,T->W,0.5,3.0,-2.0,-5.0,151.0,,,"[{""step"": 151, ""baseline_market"": [[""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""candidate_market"": [[""SELL"", ""WOOL"", 2], [""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 30, ""CARROT"": 39, ""TOMATO"": 61, ""STRAWBERRY"": 142, ""MELON"": 268, ""EGG"": 50, ""MILK"": 186, ""WOOL"": 190, ""FERTILIZER"": 90}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 2, ""FERTILIZER"": 1, ""GOOSE"": 0, ""COW"": 2, ""SHEEP"": 0}}]",,False,1,0,1,0,567
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609252,1,0.0,3.0,T->W,0.5,3.0,-2.0,-5.0,151.0,,,"[{""step"": 151, ""baseline_market"": [[""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""candidate_market"": [[""SELL"", ""WOOL"", 2], [""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""FERTILIZER"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 30, ""CARROT"": 39, ""TOMATO"": 61, ""STRAWBERRY"": 142, ""MELON"": 268, ""EGG"": 50, ""MILK"": 186, ""WOOL"": 190, ""FERTILIZER"": 90}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 2, ""FERTILIZER"": 1, ""GOOSE"": 0, ""COW"": 2, ""SHEEP"": 0}}]",,False,1,0,1,0,567
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609253,0,0.0,71.0,T->W,0.5,71.0,15.0,-56.0,300.0,,,"[{""step"": 300, ""baseline_market"": [[""BUY_SEED"", ""WHEAT"", 1]], ""candidate_market"": [[""SELL"", ""MILK"", 6], [""BUY_SEED"", ""WHEAT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 41, ""CARROT"": 41, ""TOMATO"": 73, ""STRAWBERRY"": 200, ""MELON"": 78, ""EGG"": 52, ""MILK"": 143, ""WOOL"": 93, ""FERTILIZER"": 64}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 6, ""WOOL"": 0, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,6,0,6,2,418
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609253,1,0.0,71.0,T->W,0.5,71.0,15.0,-56.0,300.0,,,"[{""step"": 300, ""baseline_market"": [[""BUY_SEED"", ""WHEAT"", 1]], ""candidate_market"": [[""SELL"", ""MILK"", 6], [""BUY_SEED"", ""WHEAT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 41, ""CARROT"": 41, ""TOMATO"": 73, ""STRAWBERRY"": 200, ""MELON"": 78, ""EGG"": 52, ""MILK"": 143, ""WOOL"": 93, ""FERTILIZER"": 64}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 6, ""WOOL"": 0, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,6,0,6,2,418
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609254,0,0.0,1484.0,T->W,0.5,1484.0,575.0,-909.0,553.0,562.0,,"[{""step"": 553, ""baseline_market"": [[""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]], ""candidate_market"": [[""SELL"", ""STRAWBERRY"", 13], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]], ""identical_observation"": true, ""prices"": {""WHEAT"": 36, ""CARROT"": 56, ""TOMATO"": 72, ""STRAWBERRY"": 12, ""MELON"": 106, ""EGG"": 53, ""MILK"": 120, ""WOOL"": 43, ""FERTILIZER"": 10}, ""shed"": {""WHEAT"": 16, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 13, ""MELON"": 0, ""EGG"": 0, ""MILK"": 6, ""WOOL"": 15, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,102,74,39,97,165
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609254,1,0.0,1484.0,T->W,0.5,1484.0,575.0,-909.0,553.0,562.0,,"[{""step"": 553, ""baseline_market"": [[""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]], ""candidate_market"": [[""SELL"", ""STRAWBERRY"", 13], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]], ""identical_observation"": true, ""prices"": {""WHEAT"": 36, ""CARROT"": 56, ""TOMATO"": 72, ""STRAWBERRY"": 12, ""MELON"": 106, ""EGG"": 53, ""MILK"": 120, ""WOOL"": 43, ""FERTILIZER"": 10}, ""shed"": {""WHEAT"": 16, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 13, ""MELON"": 0, ""EGG"": 0, ""MILK"": 6, ""WOOL"": 15, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,102,74,39,97,165
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609255,0,0.0,0.0,T->T,0.0,0.0,0.0,0.0,,,,[],,True,0,0,0,0,0
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609255,1,0.0,0.0,T->T,0.0,0.0,0.0,0.0,,,,[],,True,0,0,0,0,0
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609256,0,0.0,170.0,T->W,0.5,170.0,-83.0,-253.0,653.0,,,"[{""step"": 653, ""baseline_market"": [[""BUY_SEED"", ""WHEAT"", 1]], ""candidate_market"": [[""SELL"", ""MILK"", 9], [""BUY_SEED"", ""WHEAT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 42, ""CARROT"": 47, ""TOMATO"": 126, ""STRAWBERRY"": 51, ""MELON"": 115, ""EGG"": 43, ""MILK"": 139, ""WOOL"": 1, ""FERTILIZER"": 24}, ""shed"": {""WHEAT"": 22, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 9, ""WOOL"": 0, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,3,0,3,3,65
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609256,1,0.0,170.0,T->W,0.5,170.0,-83.0,-253.0,653.0,,,"[{""step"": 653, ""baseline_market"": [[""BUY_SEED"", ""WHEAT"", 1]], ""candidate_market"": [[""SELL"", ""MILK"", 9], [""BUY_SEED"", ""WHEAT"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 42, ""CARROT"": 47, ""TOMATO"": 126, ""STRAWBERRY"": 51, ""MELON"": 115, ""EGG"": 43, ""MILK"": 139, ""WOOL"": 1, ""FERTILIZER"": 24}, ""shed"": {""WHEAT"": 22, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 9, ""WOOL"": 0, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,3,0,3,3,65
