head,split,class,support,correct,predicted,recall,precision
actor_token,test,PICKUP:MELON,2,1,2,0.5,0.5
actor_token,test,PICKUP:EGG,0,0,0,,
actor_token,test,PICKUP:MILK,0,0,0,,
actor_token,test,PICKUP:WOOL,0,0,0,,
actor_token,test,PICKUP:FERTILIZER,0,0,0,,
actor_token,test,PICKUP:GOOSE,54,54,56,1.0,0.9642857142857143
actor_token,test,PICKUP:COW,267,264,330,0.9887640449438202,0.8
actor_token,test,PICKUP:SHEEP,117,109,136,0.9316239316239316,0.8014705882352942
actor_token,test,PLACE:WHEAT,0,0,0,,
actor_token,test,PLACE:CARROT,0,0,0,,
actor_token,test,PLACE:TOMATO,0,0,0,,
actor_token,test,PLACE:STRAWBERRY,0,0,0,,
actor_token,test,PLACE:MELON,0,0,3,,0.0
actor_token,test,PLACE:EGG,0,0,0,,
actor_token,test,PLACE:MILK,487,478,518,0.9815195071868583,0.9227799227799228
actor_token,test,PLACE:WOOL,156,152,164,0.9743589743589743,0.926829268292683
actor_token,test,PLACE:FERTILIZER,1027,1002,1061,0.9756572541382668,0.944392082940622
actor_token,test,PLACE:GOOSE,25,25,25,1.0,1.0
actor_token,test,PLACE:COW,206,203,223,0.9854368932038835,0.9103139013452914
actor_token,test,PLACE:SHEEP,87,87,114,1.0,0.7631578947368421
market_token,validation,EOS,31680,22517,24724,0.7107638888888889,0.9107345089791296
market_token,validation,HIRE,19543,18437,19090,0.943406846441181,0.9657936092194866
market_token,validation,BUY_LAND,42,29,138,0.6904761904761905,0.21014492753623187
market_token,validation,BUY_SEED:WHEAT,6992,5473,8141,0.7827517162471396,0.6722761331531752
market_token,validation,BUY_SEED:CARROT,266,169,694,0.6353383458646616,0.24351585014409222
market_token,validation,BUY_SEED:TOMATO,291,172,730,0.5910652920962199,0.2356164383561644
market_token,validation,BUY_SEED:STRAWBERRY,1334,1185,2559,0.8883058470764618,0.4630715123094959
market_token,validation,BUY_SEED:MELON,206,186,462,0.9029126213592233,0.4025974025974026
market_token,validation,BUY_PRODUCT:WHEAT,1801,1546,2239,0.858411993337035,0.6904868244752121
market_token,validation,BUY_PRODUCT:FERTILIZER,0,0,0,,
market_token,validation,BUY_ANIMAL:GOOSE,43,42,60,0.9767441860465116,0.7
market_token,validation,BUY_ANIMAL:COW,634,558,646,0.8801261829652997,0.8637770897832817
market_token,validation,BUY_ANIMAL:SHEEP,204,186,328,0.9117647058823529,0.5670731707317073
market_token,validation,SELL:WHEAT,4389,2597,4530,0.5917065390749602,0.5732891832229581
market_token,validation,SELL:CARROT,1142,760,1967,0.6654991243432574,0.3863751906456533
market_token,validation,SELL:TOMATO,954,591,1664,0.6194968553459119,0.3551682692307692
market_token,validation,SELL:STRAWBERRY,1170,535,1383,0.45726495726495725,0.3868402024584237
market_token,validation,SELL:MELON,572,411,931,0.7185314685314685,0.4414607948442535
market_token,validation,SELL:EGG,394,293,701,0.7436548223350253,0.41797432239657634
market_token,validation,SELL:MILK,1113,543,1376,0.48787061994609165,0.3946220930232558
market_token,validation,SELL:WOOL,1049,604,1561,0.5757864632983795,0.3869314541960282
market_token,validation,SELL:FERTILIZER,4563,3749,4458,0.8216085908393601,0.8409600717810678
market_token,test,EOS,31680,22502,24841,0.710290404040404,0.9058411497121694
market_token,test,HIRE,19541,18443,19076,0.9438104498234481,0.9668169427552946
market_token,test,BUY_LAND,29,19,133,0.6551724137931034,0.14285714285714285
market_token,test,BUY_SEED:WHEAT,6831,5432,8255,0.7951983604157518,0.6580254391278013
market_token,test,BUY_SEED:CARROT,304,184,689,0.6052631578947368,0.26705370101596515
market_token,test,BUY_SEED:TOMATO,273,151,653,0.5531135531135531,0.23124042879019907
market_token,test,BUY_SEED:STRAWBERRY,1368,1220,2559,0.8918128654970761,0.47674872997264556
market_token,test,BUY_SEED:MELON,220,186,500,0.8454545454545455,0.372
market_token,test,BUY_PRODUCT:WHEAT,1850,1565,2308,0.845945945945946,0.6780762564991335
market_token,test,BUY_PRODUCT:FERTILIZER,0,0,0,,
market_token,test,BUY_ANIMAL:GOOSE,53,52,75,0.9811320754716981,0.6933333333333334
market_token,test,BUY_ANIMAL:COW,630,555,627,0.8809523809523809,0.8851674641148325
market_token,test,BUY_ANIMAL:SHEEP,184,168,295,0.9130434782608695,0.5694915254237288
market_token,test,SELL:WHEAT,4358,2509,4535,0.5757228086278109,0.5532524807056229
market_token,test,SELL:CARROT,1225,770,2021,0.6285714285714286,0.3809995051954478
market_token,test,SELL:TOMATO,900,541,1470,0.6011111111111112,0.36802721088435375
market_token,test,SELL:STRAWBERRY,1284,545,1394,0.42445482866043616,0.39096126255380204
market_token,test,SELL:MELON,591,415,846,0.7021996615905245,0.4905437352245863
market_token,test,SELL:EGG,522,371,935,0.710727969348659,0.3967914438502674
market_token,test,SELL:MILK,1002,520,1345,0.5189620758483033,0.38661710037174724
market_token,test,SELL:WOOL,961,576,1353,0.5993756503642039,0.42572062084257206
market_token,test,SELL:FERTILIZER,4610,3781,4506,0.820173535791757,0.8391034176653351
actor_quantity,validation,1,2269,2201,2278,0.9700308505949757,0.966198419666374
actor_quantity,validation,2,953,714,945,0.7492130115424974,0.7555555555555555
actor_quantity,validation,3,1091,812,1268,0.7442713107241063,0.6403785488958991
actor_quantity,validation,4,693,411,703,0.5930735930735931,0.5846372688477952
actor_quantity,validation,5,317,110,228,0.3470031545741325,0.4824561403508772
actor_quantity,validation,6,210,123,182,0.5857142857142857,0.6758241758241759
actor_quantity,validation,7,45,7,25,0.15555555555555556,0.28
actor_quantity,validation,8,20,1,10,0.05,0.1
actor_quantity,validation,9,13,1,1,0.07692307692307693,1.0
actor_quantity,validation,10,7,0,0,0.0,
actor_quantity,validation,11,4,0,0,0.0,
actor_quantity,validation,12,3,0,0,0.0,
actor_quantity,validation,13,2,0,0,0.0,
actor_quantity,validation,14,6,0,0,0.0,
actor_quantity,validation,15,2,0,0,0.0,
actor_quantity,validation,16,0,0,0,,
actor_quantity,validation,17,2,0,0,0.0,
actor_quantity,validation,18,3,0,1,0.0,0.0
actor_quantity,validation,19,0,0,0,,
actor_quantity,validation,20,0,0,0,,
actor_quantity,validation,21,0,0,0,,
actor_quantity,validation,22,0,0,0,,
actor_quantity,validation,23,1,0,0,0.0,
actor_quantity,validation,26,0,0,0,,
actor_quantity,validation,27,0,0,0,,
actor_quantity,validation,28,0,0,0,,
actor_quantity,validation,35,0,0,0,,
actor_quantity,test,1,2248,2195,2267,0.9764234875444839,0.9682399647110719
actor_quantity,test,2,878,679,878,0.7733485193621867,0.7733485193621867
actor_quantity,test,3,1064,792,1188,0.7443609022556391,0.6666666666666666
actor_quantity,test,4,590,338,596,0.5728813559322034,0.5671140939597316
actor_quantity,test,5,259,89,209,0.3436293436293436,0.4258373205741627
actor_quantity,test,6,179,97,152,0.5418994413407822,0.6381578947368421
actor_quantity,test,7,37,4,19,0.10810810810810811,0.21052631578947367
actor_quantity,test,8,25,3,10,0.12,0.3
actor_quantity,test,9,11,0,2,0.0,0.0
actor_quantity,test,10,8,0,4,0.0,0.0
actor_quantity,test,11,3,0,0,0.0,
actor_quantity,test,12,4,0,0,0.0,
actor_quantity,test,13,4,0,0,0.0,
actor_quantity,test,14,5,0,0,0.0,
actor_quantity,test,15,3,0,0,0.0,
actor_quantity,test,16,0,0,0,,
actor_quantity,test,17,0,0,0,,
actor_quantity,test,18,5,1,2,0.2,0.5
actor_quantity,test,19,1,0,0,0.0,
actor_quantity,test,20,1,0,0,0.0,
actor_quantity,test,21,2,0,0,0.0,
actor_quantity,test,22,0,0,0,,
actor_quantity,test,23,0,0,0,,
actor_quantity,test,26,0,0,0,,
actor_quantity,test,27,0,0,0,,
actor_quantity,test,28,0,0,0,,
actor_quantity,test,35,0,0,0,,
market_quantity,validation,1,13314,12821,13788,0.9629713083971759,0.9298665506237308
market_quantity,validation,2,2747,1607,3000,0.5850018201674554,0.5356666666666666
market_quantity,validation,3,1861,872,1850,0.46856528747984955,0.47135135135135137
market_quantity,validation,4,1773,728,1872,0.41060349689791314,0.3888888888888889
market_quantity,validation,5,1186,453,1490,0.38195615514333897,0.3040268456375839
market_quantity,validation,6,1807,1096,2086,0.606530160486995,0.5254074784276127
market_quantity,validation,7,661,92,557,0.13918305597579425,0.1651705565529623
market_quantity,validation,8,708,108,540,0.15254237288135594,0.2
market_quantity,validation,9,438,16,83,0.0365296803652968,0.1927710843373494
market_quantity,validation,10,596,193,895,0.3238255033557047,0.21564245810055865
market_quantity,validation,11,350,20,120,0.05714285714285714,0.16666666666666666
market_quantity,validation,12,339,47,265,0.13864306784660768,0.17735849056603772
market_quantity,validation,13,202,7,84,0.034653465346534656,0.08333333333333333
market_quantity,validation,14,180,11,109,0.06111111111111111,0.10091743119266056
market_quantity,validation,15,180,0,99,0.0,0.0
market_quantity,validation,16,140,10,53,0.07142857142857142,0.18867924528301888
market_quantity,validation,17,101,10,81,0.09900990099009901,0.12345679012345678
market_quantity,validation,18,86,3,17,0.03488372093023256,0.17647058823529413
market_quantity,validation,19,53,0,60,0.0,0.0
market_quantity,validation,20,61,0,4,0.0,0.0
market_quantity,validation,21,44,1,20,0.022727272727272728,0.05
market_quantity,validation,22,29,0,17,0.0,0.0
market_quantity,validation,23,32,1,3,0.03125,0.3333333333333333
market_quantity,validation,24,29,0,0,0.0,
market_quantity,validation,25,24,0,0,0.0,
market_quantity,validation,26,19,0,11,0.0,0.0
market_quantity,validation,27,31,0,1,0.0,0.0
market_quantity,validation,28,16,0,0,0.0,
market_quantity,validation,29,15,0,1,0.0,0.0
market_quantity,validation,30,12,0,0,0.0,
market_quantity,validation,31,11,0,0,0.0,
market_quantity,validation,32,7,0,2,0.0,0.0
market_quantity,validation,33,7,0,0,0.0,
market_quantity,validation,34,6,0,0,0.0,
market_quantity,validation,35,7,0,0,0.0,
market_quantity,validation,36,5,0,1,0.0,0.0
market_quantity,validation,37,1,0,1,0.0,0.0
market_quantity,validation,38,6,0,2,0.0,0.0
market_quantity,validation,39,6,0,0,0.0,
market_quantity,validation,40,4,0,0,0.0,
market_quantity,validation,41,2,0,0,0.0,
market_quantity,validation,42,2,0,0,0.0,
market_quantity,validation,43,2,0,0,0.0,
market_quantity,validation,44,3,0,0,0.0,
market_quantity,validation,45,1,0,0,0.0,
market_quantity,validation,46,0,0,0,,
market_quantity,validation,47,1,0,0,0.0,
market_quantity,validation,48,2,0,0,0.0,
market_quantity,validation,50,2,0,0,0.0,
market_quantity,validation,51,1,0,0,0.0,
market_quantity,validation,53,1,0,0,0.0,
market_quantity,validation,55,0,0,0,,
market_quantity,validation,56,0,0,0,,
market_quantity,validation,57,0,0,0,,
market_quantity,validation,60,1,0,0,0.0,
market_quantity,validation,71,0,0,0,,
market_quantity,test,1,13297,12783,13725,0.9613446642099722,0.9313661202185792
market_quantity,test,2,2755,1697,3201,0.6159709618874774,0.5301468291159013
market_quantity,test,3,1882,870,1824,0.4622741764080765,0.4769736842105263
market_quantity,test,4,1781,691,1753,0.3879842784952274,0.3941814033086138
market_quantity,test,5,1216,496,1574,0.40789473684210525,0.31512071156289706
market_quantity,test,6,1823,1126,2050,0.6176631925397696,0.5492682926829269
market_quantity,test,7,634,116,574,0.1829652996845426,0.20209059233449478
market_quantity,test,8,802,152,563,0.18952618453865336,0.2699822380106572
market_quantity,test,9,395,5,83,0.012658227848101266,0.060240963855421686
market_quantity,test,10,607,194,846,0.31960461285008235,0.2293144208037825
market_quantity,test,11,320,26,146,0.08125,0.1780821917808219
market_quantity,test,12,352,47,246,0.13352272727272727,0.1910569105691057
market_quantity,test,13,187,3,68,0.016042780748663103,0.04411764705882353
market_quantity,test,14,175,12,99,0.06857142857142857,0.12121212121212122
market_quantity,test,15,163,6,98,0.03680981595092025,0.061224489795918366
market_quantity,test,16,129,4,60,0.031007751937984496,0.06666666666666667
market_quantity,test,17,115,8,77,0.06956521739130435,0.1038961038961039
market_quantity,test,18,79,5,26,0.06329113924050633,0.19230769230769232
market_quantity,test,19,69,2,60,0.028985507246376812,0.03333333333333333
market_quantity,test,20,63,0,6,0.0,0.0
market_quantity,test,21,38,0,35,0.0,0.0
market_quantity,test,22,28,2,18,0.07142857142857142,0.1111111111111111
market_quantity,test,23,30,0,7,0.0,0.0
market_quantity,test,24,21,0,1,0.0,0.0
market_quantity,test,25,17,0,0,0.0,
market_quantity,test,26,28,1,10,0.03571428571428571,0.1
market_quantity,test,27,22,0,2,0.0,0.0
market_quantity,test,28,25,0,0,0.0,
market_quantity,test,29,14,0,2,0.0,0.0
market_quantity,test,30,16,0,0,0.0,
market_quantity,test,31,18,0,0,0.0,
market_quantity,test,32,5,0,0,0.0,
market_quantity,test,33,9,0,0,0.0,
market_quantity,test,34,9,0,0,0.0,
market_quantity,test,35,6,0,2,0.0,0.0
market_quantity,test,36,6,0,0,0.0,
market_quantity,test,37,6,0,5,0.0,0.0
market_quantity,test,38,4,0,3,0.0,0.0
market_quantity,test,39,2,0,1,0.0,0.0
market_quantity,test,40,3,0,0,0.0,
market_quantity,test,41,3,0,0,0.0,
market_quantity,test,42,4,0,0,0.0,
market_quantity,test,43,4,0,0,0.0,
market_quantity,test,44,1,0,0,0.0,
market_quantity,test,45,0,0,0,,
market_quantity,test,46,0,0,0,,
market_quantity,test,47,0,0,0,,
market_quantity,test,48,0,0,0,,
market_quantity,test,50,1,0,0,0.0,
market_quantity,test,51,1,0,0,0.0,
market_quantity,test,53,0,0,0,,
market_quantity,test,55,0,0,0,,
market_quantity,test,56,0,0,0,,
market_quantity,test,57,0,0,0,,
market_quantity,test,60,0,0,0,,
market_quantity,test,71,0,0,0,,
