anchor,seed,seat,record,role,money,land,crops,animals,empty_pasture,hands,shed_units,carried_units
v122,2026102302,0,144,opponent,800.0,1,19,6,0,0,18,0
v122,2026102302,0,192,A2,2212.0,1,8,3,5,0,28,0
v122,2026102302,0,192,opponent,830.0,2,37,10,3,0,9,0
v122,2026102302,0,240,A2,3392.0,2,16,1,11,0,40,0
v122,2026102302,0,240,opponent,2613.0,2,37,13,0,0,39,0
v122,2026102302,0,288,A2,3381.0,2,16,1,24,0,54,0
v122,2026102302,0,288,opponent,17479.0,3,53,17,0,0,67,0
v122,2026102302,0,360,A2,5882.0,2,5,1,27,0,23,0
v122,2026102302,0,360,opponent,26661.0,3,57,17,0,0,53,0
v122,2026102302,0,480,A2,7400.0,2,4,1,40,0,6,0
v122,2026102302,0,480,opponent,49465.0,3,58,16,1,0,95,0
v122,2026102302,0,600,A2,7971.0,2,3,0,36,0,9,0
v122,2026102302,0,600,opponent,60290.0,3,58,16,1,0,97,0
v122,2026102302,0,696,A2,8040.0,2,0,0,39,0,1,0
v122,2026102302,0,696,opponent,93390.0,3,21,16,1,0,97,0
v122,2026102302,0,719,A2,8007.0,2,0,0,41,8,0,0
v122,2026102302,0,719,opponent,151763.0,3,0,16,1,11,0,0
v122,2026102302,1,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102302,1,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102302,1,24,A2,4.0,1,15,4,1,0,2,0
v122,2026102302,1,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102302,1,48,A2,40.0,1,16,3,2,0,6,0
v122,2026102302,1,48,opponent,85.0,1,19,4,2,0,8,0
v122,2026102302,1,96,A2,310.0,1,16,3,3,0,23,0
v122,2026102302,1,96,opponent,284.0,1,19,6,0,0,12,0
v122,2026102302,1,144,A2,815.0,1,11,3,4,0,40,0
v122,2026102302,1,144,opponent,817.0,1,19,6,0,0,18,0
v122,2026102302,1,192,A2,1199.0,1,10,3,4,0,46,0
v122,2026102302,1,192,opponent,682.0,2,37,10,3,0,9,0
v122,2026102302,1,240,A2,1711.0,1,15,1,6,0,70,0
v122,2026102302,1,240,opponent,3083.0,2,37,13,0,0,39,0
v122,2026102302,1,288,A2,2829.0,1,4,0,12,0,73,0
v122,2026102302,1,288,opponent,19512.0,3,53,17,0,0,67,0
v122,2026102302,1,360,A2,9853.0,1,2,0,16,0,16,0
v122,2026102302,1,360,opponent,31912.0,3,57,17,0,0,55,0
v122,2026102302,1,480,A2,11958.0,1,0,0,20,0,1,0
v122,2026102302,1,480,opponent,66108.0,3,58,17,0,0,79,0
v122,2026102302,1,600,A2,11878.0,1,0,0,22,0,1,0
v122,2026102302,1,600,opponent,99950.0,3,58,17,0,0,100,0
v122,2026102302,1,696,A2,11818.0,1,0,0,22,0,1,0
v122,2026102302,1,696,opponent,124329.0,3,21,17,0,0,99,0
v122,2026102302,1,719,A2,11764.0,1,0,0,22,8,1,0
v122,2026102302,1,719,opponent,147678.0,3,0,17,0,11,0,0
v122,2026102303,0,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102303,0,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102303,0,24,A2,144.0,1,10,5,1,0,1,0
v122,2026102303,0,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102303,0,48,A2,43.0,1,14,5,1,0,6,0
v122,2026102303,0,48,opponent,83.0,1,19,4,2,0,8,0
v122,2026102303,0,96,A2,608.0,1,13,3,3,0,26,0
v122,2026102303,0,96,opponent,281.0,1,19,6,0,0,12,0
v122,2026102303,0,144,A2,1256.0,1,10,3,3,0,26,0
v122,2026102303,0,144,opponent,800.0,1,19,6,0,0,18,0
v122,2026102303,0,192,A2,1549.0,1,11,3,3,0,46,0
v122,2026102303,0,192,opponent,561.0,2,37,10,3,0,10,0
v122,2026102303,0,240,A2,1574.0,1,15,2,4,0,74,0
v122,2026102303,0,240,opponent,2867.0,2,37,13,0,0,39,0
v122,2026102303,0,288,A2,2471.0,1,4,1,16,0,92,0
v122,2026102303,0,288,opponent,18759.0,3,53,17,0,0,81,0
v122,2026102303,0,360,A2,10334.0,2,1,0,26,0,6,0
v122,2026102303,0,360,opponent,30674.0,3,57,17,0,0,73,0
v122,2026102303,0,480,A2,10390.0,2,5,1,35,0,3,0
v122,2026102303,0,480,opponent,65141.0,4,68,17,0,0,82,0
v122,2026102303,0,600,A2,10466.0,2,3,0,35,0,9,0
v122,2026102303,0,600,opponent,112152.0,4,68,17,0,0,100,0
v122,2026102303,0,696,A2,10908.0,2,1,0,36,0,0,0
v122,2026102303,0,696,opponent,147730.0,4,31,17,0,0,100,0
v122,2026102303,0,719,A2,10854.0,2,1,0,36,8,0,0
v122,2026102303,0,719,opponent,168329.0,4,10,17,0,13,0,0
v122,2026102303,1,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102303,1,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102303,1,24,A2,4.0,1,15,4,1,0,2,0
v122,2026102303,1,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102303,1,48,A2,40.0,1,16,3,2,0,6,0
v122,2026102303,1,48,opponent,85.0,1,19,4,2,0,8,0
v122,2026102303,1,96,A2,160.0,1,19,3,3,0,17,0
v122,2026102303,1,96,opponent,284.0,1,19,6,0,0,12,0
v122,2026102303,1,144,A2,784.0,1,10,3,3,0,33,0
v122,2026102303,1,144,opponent,818.0,1,19,6,0,0,18,0
v122,2026102303,1,192,A2,1444.0,1,7,2,8,0,27,0
v122,2026102303,1,192,opponent,671.0,2,37,10,3,0,10,0
v122,2026102303,1,240,A2,2792.0,1,7,0,10,0,32,0
v122,2026102303,1,240,opponent,1844.0,2,37,13,0,0,44,0
v122,2026102303,1,288,A2,3607.0,1,7,0,10,0,15,0
v122,2026102303,1,288,opponent,16388.0,3,53,17,0,0,84,0
v122,2026102303,1,360,A2,3544.0,2,12,0,13,0,20,0
v122,2026102303,1,360,opponent,29079.0,3,57,17,0,0,68,0
v122,2026102303,1,480,A2,4254.0,2,1,1,39,0,20,0
v122,2026102303,1,480,opponent,61599.0,4,68,17,0,0,85,0
v122,2026102303,1,600,A2,5377.0,2,2,0,40,0,18,0
v122,2026102303,1,600,opponent,97309.0,4,68,17,0,0,100,0
v122,2026102303,1,696,A2,5605.0,2,0,0,40,0,15,0
v122,2026102303,1,696,opponent,131985.0,4,31,16,0,0,100,0
v122,2026102303,1,719,A2,5647.0,2,0,0,42,8,11,2
v122,2026102303,1,719,opponent,154038.0,4,10,16,0,13,0,0
v122,2026102304,0,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102304,0,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102304,0,24,A2,144.0,1,10,5,1,0,1,0
v122,2026102304,0,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102304,0,48,A2,43.0,1,14,5,1,0,6,0
v122,2026102304,0,48,opponent,83.0,1,19,4,2,0,8,0
v122,2026102304,0,96,A2,670.0,1,12,4,2,0,17,0
v122,2026102304,0,96,opponent,281.0,1,19,6,0,0,12,0
v122,2026102304,0,144,A2,1106.0,1,6,4,2,0,33,0
v122,2026102304,0,144,opponent,798.0,1,19,6,0,0,18,0
v122,2026102304,0,192,A2,1710.0,1,9,2,5,0,31,0
v122,2026102304,0,192,opponent,638.0,2,37,10,3,0,9,0
v122,2026102304,0,240,A2,1669.0,1,12,2,5,0,55,0
v122,2026102304,0,240,opponent,2613.0,2,37,13,0,0,39,0
v122,2026102304,0,288,A2,3020.0,1,2,1,15,0,57,0
v122,2026102304,0,288,opponent,18221.0,3,53,17,0,0,81,0
v122,2026102304,0,360,A2,9534.0,1,0,1,19,0,18,0
v122,2026102304,0,360,opponent,31156.0,3,57,17,0,0,64,0
v122,2026102304,0,480,A2,11596.0,1,0,0,24,0,0,0
v122,2026102304,0,480,opponent,69737.0,3,58,17,0,0,78,0
v122,2026102304,0,600,A2,11496.0,1,0,0,24,0,0,0
v122,2026102304,0,600,opponent,114142.0,3,58,17,0,0,99,0
v122,2026102304,0,696,A2,11436.0,1,0,0,24,0,0,0
v122,2026102304,0,696,opponent,145542.0,3,21,17,0,0,98,0
v122,2026102304,0,719,A2,11382.0,1,0,0,24,8,0,0
v122,2026102304,0,719,opponent,163130.0,3,0,17,0,11,0,0
v122,2026102304,1,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102304,1,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102304,1,24,A2,4.0,1,15,4,1,0,2,0
v122,2026102304,1,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102304,1,48,A2,40.0,1,16,3,2,0,6,0
v122,2026102304,1,48,opponent,85.0,1,19,4,2,0,8,0
v122,2026102304,1,96,A2,160.0,1,19,3,3,0,17,0
v122,2026102304,1,96,opponent,285.0,1,19,6,0,0,12,0
v122,2026102304,1,144,A2,670.0,1,11,3,4,0,36,0
v122,2026102304,1,144,opponent,818.0,1,19,6,0,0,18,0
v122,2026102304,1,192,A2,1250.0,1,7,1,9,0,39,0
v122,2026102304,1,192,opponent,684.0,2,37,10,3,0,9,0
v122,2026102304,1,240,A2,1346.0,1,9,0,10,0,47,0
v122,2026102304,1,240,opponent,3114.0,2,37,13,0,0,39,0
v122,2026102304,1,288,A2,1811.0,1,6,0,11,0,49,0
v122,2026102304,1,288,opponent,19182.0,3,53,17,0,0,81,0
v122,2026102304,1,360,A2,8112.0,1,0,0,22,0,6,0
v122,2026102304,1,360,opponent,32777.0,3,57,17,0,0,64,0
v122,2026102304,1,480,A2,8213.0,1,0,0,22,0,1,0
v122,2026102304,1,480,opponent,69014.0,4,68,17,0,0,74,0
v122,2026102304,1,600,A2,8153.0,1,0,0,22,0,1,0
v122,2026102304,1,600,opponent,115861.0,4,68,17,0,0,97,0
v122,2026102304,1,696,A2,8153.0,1,0,0,22,0,1,0
v122,2026102304,1,696,opponent,179373.0,4,31,14,3,0,100,0
v122,2026102304,1,719,A2,8133.0,1,0,0,22,6,1,0
v122,2026102304,1,719,opponent,207463.0,4,10,14,3,13,0,1
v122,2026102305,0,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102305,0,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102305,0,24,A2,144.0,1,10,5,1,0,1,0
v122,2026102305,0,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102305,0,48,A2,43.0,1,14,5,1,0,6,0
v122,2026102305,0,48,opponent,83.0,1,19,4,2,0,8,0
v122,2026102305,0,96,A2,608.0,1,13,3,3,0,26,0
v122,2026102305,0,96,opponent,281.0,1,19,6,0,0,12,0
v122,2026102305,0,144,A2,1258.0,1,10,3,3,0,26,0
v122,2026102305,0,144,opponent,797.0,1,19,6,0,0,18,0
v122,2026102305,0,192,A2,1671.0,1,12,3,5,0,41,0
v122,2026102305,0,192,opponent,640.0,2,37,10,3,0,9,0
v122,2026102305,0,240,A2,2392.0,1,13,3,5,0,62,0
v122,2026102305,0,240,opponent,2917.0,2,37,13,0,0,39,0
v122,2026102305,0,288,A2,3102.0,1,13,2,7,0,75,0
v122,2026102305,0,288,opponent,19375.0,3,53,17,0,0,67,0
v122,2026102305,0,360,A2,9201.0,1,5,1,14,0,26,0
v122,2026102305,0,360,opponent,31717.0,3,57,17,0,0,55,0
v122,2026102305,0,480,A2,12459.0,1,0,0,21,0,2,0
v122,2026102305,0,480,opponent,67232.0,3,58,17,0,0,79,0
v122,2026102305,0,600,A2,12773.0,1,0,0,21,0,0,0
v122,2026102305,0,600,opponent,104876.0,3,58,17,0,0,98,0
v122,2026102305,0,696,A2,12691.0,1,0,0,21,0,0,0
v122,2026102305,0,696,opponent,136646.0,3,21,17,0,0,95,0
v122,2026102305,0,719,A2,12637.0,1,0,0,22,8,0,0
v122,2026102305,0,719,opponent,149076.0,3,0,17,0,11,0,0
v122,2026102305,1,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102305,1,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102305,1,24,A2,4.0,1,15,4,1,0,2,0
v122,2026102305,1,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102305,1,48,A2,40.0,1,16,3,2,0,6,0
v122,2026102305,1,48,opponent,85.0,1,19,4,2,0,8,0
v122,2026102305,1,96,A2,310.0,1,17,3,3,0,17,0
v122,2026102305,1,96,opponent,285.0,1,19,6,0,0,12,0
v122,2026102305,1,144,A2,692.0,1,9,3,4,0,30,0
v122,2026102305,1,144,opponent,818.0,1,19,6,0,0,18,0
v122,2026102305,1,192,A2,1126.0,1,9,3,7,0,33,0
v122,2026102305,1,192,opponent,684.0,2,37,10,3,0,9,0
v122,2026102305,1,240,A2,1925.0,1,6,3,7,0,53,0
v122,2026102305,1,240,opponent,2548.0,2,37,13,0,0,39,0
v122,2026102305,1,288,A2,2453.0,1,5,1,9,0,62,0
v122,2026102305,1,288,opponent,18117.0,3,53,17,0,0,67,0
v122,2026102305,1,360,A2,6006.0,1,12,0,10,0,31,0
v122,2026102305,1,360,opponent,29076.0,3,57,17,0,0,55,0
v122,2026102305,1,480,A2,9859.0,1,1,0,21,0,3,0
v122,2026102305,1,480,opponent,57216.0,3,58,17,0,0,79,0
v122,2026102305,1,600,A2,9837.0,1,0,0,21,0,1,0
v122,2026102305,1,600,opponent,91632.0,3,58,17,0,0,100,0
v122,2026102305,1,696,A2,9777.0,1,0,0,21,0,1,0
v122,2026102305,1,696,opponent,118304.0,3,21,17,0,0,99,0
v122,2026102305,1,719,A2,9744.0,1,0,0,21,7,1,0
v122,2026102305,1,719,opponent,129302.0,3,0,17,0,11,0,0
v122,2026102306,0,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102306,0,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102306,0,24,A2,144.0,1,10,5,1,0,1,0
v122,2026102306,0,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102306,0,48,A2,43.0,1,14,5,1,0,6,0
v122,2026102306,0,48,opponent,83.0,1,19,4,2,0,8,0
v122,2026102306,0,96,A2,608.0,1,13,3,3,0,26,0
v122,2026102306,0,96,opponent,281.0,1,19,6,0,0,12,0
v122,2026102306,0,144,A2,1143.0,1,6,3,3,0,37,0
v122,2026102306,0,144,opponent,801.0,1,19,6,0,0,18,0
v122,2026102306,0,192,A2,1401.0,1,7,1,7,0,41,0
v122,2026102306,0,192,opponent,637.0,2,37,10,3,0,10,0
v122,2026102306,0,240,A2,1325.0,1,5,1,9,0,59,0
v122,2026102306,0,240,opponent,2750.0,2,37,13,0,0,39,0
v122,2026102306,0,288,A2,5354.0,1,0,1,12,0,31,0
v122,2026102306,0,288,opponent,15738.0,3,53,17,1,0,92,0
v122,2026102306,0,360,A2,7609.0,1,1,0,16,0,2,0
v122,2026102306,0,360,opponent,26004.0,3,57,17,1,0,80,0
v122,2026102306,0,480,A2,7583.0,1,0,0,17,0,0,0
v122,2026102306,0,480,opponent,63992.0,3,58,17,0,0,71,0
v122,2026102306,0,600,A2,7470.0,1,0,0,18,0,0,0
v122,2026102306,0,600,opponent,95009.0,3,58,17,0,0,89,0
v122,2026102306,0,696,A2,7410.0,1,0,0,18,0,0,0
v122,2026102306,0,696,opponent,120542.0,3,21,17,0,0,100,0
v122,2026102306,0,719,A2,7356.0,1,0,0,18,8,0,0
v122,2026102306,0,719,opponent,133967.0,3,0,17,0,11,0,0
v122,2026102306,1,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102306,1,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102306,1,24,A2,4.0,1,15,4,1,0,2,0
v122,2026102306,1,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102306,1,48,A2,40.0,1,16,3,2,0,6,0
v122,2026102306,1,48,opponent,85.0,1,19,4,2,0,8,0
v122,2026102306,1,96,A2,160.0,1,19,3,3,0,17,0
v122,2026102306,1,96,opponent,284.0,1,19,6,0,0,12,0
v122,2026102306,1,144,A2,784.0,1,10,3,3,0,33,0
v122,2026102306,1,144,opponent,818.0,1,19,6,0,0,18,0
v122,2026102306,1,192,A2,1404.0,1,8,2,8,0,27,0
v122,2026102306,1,192,opponent,671.0,2,37,10,3,0,10,0
v122,2026102306,1,240,A2,2240.0,1,13,2,8,0,31,0
v122,2026102306,1,240,opponent,2805.0,2,37,13,0,0,40,0
v122,2026102306,1,288,A2,3002.0,1,1,0,10,0,23,0
v122,2026102306,1,288,opponent,17910.0,3,53,17,0,0,82,0
v122,2026102306,1,360,A2,4249.0,1,6,1,12,0,19,0
v122,2026102306,1,360,opponent,31246.0,3,57,17,0,0,54,0
v122,2026102306,1,480,A2,6500.0,1,2,1,19,0,13,0
v122,2026102306,1,480,opponent,60980.0,3,58,17,0,0,82,0
v122,2026102306,1,600,A2,7834.0,1,0,0,22,0,5,0
v122,2026102306,1,600,opponent,87685.0,3,58,17,0,0,100,0
v122,2026102306,1,696,A2,7966.0,1,0,0,22,0,0,0
v122,2026102306,1,696,opponent,112334.0,3,21,17,0,0,97,0
v122,2026102306,1,719,A2,7912.0,1,0,0,22,8,0,0
v122,2026102306,1,719,opponent,125260.0,3,0,17,0,11,0,0
v122,2026102307,0,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102307,0,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102307,0,24,A2,144.0,1,10,5,1,0,1,0
v122,2026102307,0,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102307,0,48,A2,43.0,1,14,5,1,0,6,0
v122,2026102307,0,48,opponent,83.0,1,19,4,2,0,8,0
v122,2026102307,0,96,A2,608.0,1,12,3,3,0,26,0
v122,2026102307,0,96,opponent,281.0,1,19,6,0,0,12,0
v122,2026102307,0,144,A2,1505.0,1,6,3,3,0,19,0
v122,2026102307,0,144,opponent,801.0,1,19,6,0,0,18,0
v122,2026102307,0,192,A2,2037.0,1,4,3,5,0,22,0
v122,2026102307,0,192,opponent,584.0,2,37,10,3,0,11,0
v122,2026102307,0,240,A2,4418.0,1,8,2,8,0,30,0
v122,2026102307,0,240,opponent,2732.0,2,37,13,0,0,43,0
v122,2026102307,0,288,A2,5489.0,1,1,1,14,0,28,0
v122,2026102307,0,288,opponent,18796.0,3,53,17,0,0,85,0
v122,2026102307,0,360,A2,8782.0,2,3,0,34,0,0,0
v122,2026102307,0,360,opponent,30847.0,3,57,17,0,0,77,0
v122,2026102307,0,480,A2,8908.0,2,0,0,45,0,0,0
v122,2026102307,0,480,opponent,71468.0,3,58,17,0,0,83,0
v122,2026102307,0,600,A2,8826.0,2,0,0,39,0,0,0
v122,2026102307,0,600,opponent,120661.0,3,58,17,0,0,99,0
v122,2026102307,0,696,A2,8747.0,2,0,0,39,0,0,0
v122,2026102307,0,696,opponent,155634.0,3,21,17,0,0,98,0
v122,2026102307,0,719,A2,8693.0,2,0,0,42,8,0,0
v122,2026102307,0,719,opponent,172594.0,3,0,17,0,8,0,0
v122,2026102307,1,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102307,1,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102307,1,24,A2,4.0,1,15,4,1,0,2,0
v122,2026102307,1,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102307,1,48,A2,40.0,1,16,3,2,0,6,0
v122,2026102307,1,48,opponent,85.0,1,19,4,2,0,8,0
v122,2026102307,1,96,A2,160.0,1,19,3,3,0,17,0
v122,2026102307,1,96,opponent,284.0,1,19,6,0,0,12,0
v122,2026102307,1,144,A2,784.0,1,10,3,3,0,33,0
v122,2026102307,1,144,opponent,818.0,1,19,6,0,0,18,0
v122,2026102307,1,192,A2,1431.0,1,7,2,8,0,27,0
v122,2026102307,1,192,opponent,670.0,2,37,10,3,0,10,0
v122,2026102307,1,240,A2,2717.0,1,7,1,9,0,34,0
v122,2026102307,1,240,opponent,2902.0,2,37,13,0,0,39,0
v122,2026102307,1,288,A2,3495.0,1,4,0,10,0,23,0
v122,2026102307,1,288,opponent,16108.0,3,53,17,1,0,92,0
v122,2026102307,1,360,A2,6294.0,1,4,0,10,0,10,0
v122,2026102307,1,360,opponent,26809.0,3,57,17,1,0,80,0
v122,2026102307,1,480,A2,7511.0,1,2,0,16,0,12,0
v122,2026102307,1,480,opponent,67042.0,3,58,17,0,0,70,0
v122,2026102307,1,600,A2,7370.0,1,1,0,20,0,5,0
v122,2026102307,1,600,opponent,116226.0,3,58,17,0,0,89,0
v122,2026102307,1,696,A2,7408.0,1,0,0,20,0,3,0
v122,2026102307,1,696,opponent,149403.0,3,21,17,0,0,100,0
v122,2026102307,1,719,A2,7375.0,1,0,0,20,7,3,0
v122,2026102307,1,719,opponent,169670.0,3,0,17,0,11,0,0
v122,2026102308,0,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102308,0,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102308,0,24,A2,144.0,1,10,5,1,0,1,0
v122,2026102308,0,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102308,0,48,A2,21.0,1,17,3,3,0,5,0
v122,2026102308,0,48,opponent,85.0,1,19,4,2,0,8,0
v122,2026102308,0,96,A2,867.0,1,8,2,4,0,11,0
v122,2026102308,0,96,opponent,280.0,1,19,6,0,0,12,0
v122,2026102308,0,144,A2,1396.0,1,3,1,5,0,2,0
v122,2026102308,0,144,opponent,812.0,1,19,6,0,0,18,0
v122,2026102308,0,192,A2,1404.0,1,3,0,6,0,9,0
v122,2026102308,0,192,opponent,495.0,2,37,10,3,0,10,0
v122,2026102308,0,240,A2,1157.0,1,6,0,7,0,16,0
v122,2026102308,0,240,opponent,4620.0,2,37,13,0,0,9,0
v122,2026102308,0,288,A2,1699.0,1,0,0,12,0,18,0
v122,2026102308,0,288,opponent,20482.0,3,53,16,1,0,39,0
v122,2026102308,0,360,A2,4356.0,1,0,0,12,0,0,0
v122,2026102308,0,360,opponent,32602.0,3,57,16,1,0,57,0
v122,2026102308,0,480,A2,4191.0,1,0,0,16,0,0,0
v122,2026102308,0,480,opponent,79004.0,3,58,16,1,0,66,0
v122,2026102308,0,600,A2,4078.0,1,0,0,16,0,0,0
v122,2026102308,0,600,opponent,134449.0,3,58,16,1,0,91,0
v122,2026102308,0,696,A2,4018.0,1,0,0,16,0,0,0
v122,2026102308,0,696,opponent,172742.0,3,21,16,1,0,97,0
v122,2026102308,0,719,A2,3985.0,1,0,0,16,7,0,0
v122,2026102308,0,719,opponent,192700.0,3,0,16,1,11,0,6
v122,2026102308,1,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102308,1,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102308,1,24,A2,4.0,1,15,4,1,0,2,0
v122,2026102308,1,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102308,1,48,A2,40.0,1,16,3,2,0,6,0
v122,2026102308,1,48,opponent,85.0,1,19,4,2,0,8,0
v122,2026102308,1,96,A2,230.0,1,16,3,2,0,18,0
v122,2026102308,1,96,opponent,284.0,1,19,6,0,0,12,0
v122,2026102308,1,144,A2,769.0,1,8,3,3,0,24,0
v122,2026102308,1,144,opponent,817.0,1,19,6,0,0,18,0
v122,2026102308,1,192,A2,1258.0,1,7,3,10,0,25,0
v122,2026102308,1,192,opponent,621.0,2,37,10,3,0,11,0
v122,2026102308,1,240,A2,4822.0,1,9,3,10,0,33,0
v122,2026102308,1,240,opponent,2989.0,2,37,13,0,0,43,0
v122,2026102308,1,288,A2,6205.0,1,5,2,11,0,23,0
v122,2026102308,1,288,opponent,19824.0,3,53,17,0,0,67,0
v122,2026102308,1,360,A2,11190.0,1,4,0,19,0,5,0
