arm,opponent_family,seed,seat,our_cash,opponent_cash,margin,win,tie,passes,discarded_units,floor_sale_units,sold_units,floor_sale_share,atomic_plant_cancellations,successful_feed,failed_feed,successful_care,animal_exits,unplaced_animals,fertilize_wheat,elapsed_seconds,prediction_terminal_cash,prediction_error,replay
fertilizer,mooman_e052a,2026092201,1,90563.0,89522.0,1041.0,1,0,561,28,147,1485,0.09899,0,343,23,374,0,0,17,46.0236,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\mooman_e052a\seed_2026092201_seat_1.json.gz
fertilizer,mooman_e052a,2026092202,0,58317.0,56217.0,2100.0,1,0,660,109,254,1479,0.171738,0,307,9,388,3,0,26,47.1259,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\mooman_e052a\seed_2026092202_seat_0.json.gz
fertilizer,mooman_e052a,2026092202,1,58317.0,56217.0,2100.0,1,0,660,109,254,1479,0.171738,0,307,9,388,3,0,26,47.4327,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\mooman_e052a\seed_2026092202_seat_1.json.gz
fertilizer,qeinstein_moev2,2026092201,0,66383.0,58489.0,7894.0,1,0,445,3,142,1583,0.089703,0,344,0,390,0,0,19,16.0602,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\qeinstein_moev2\seed_2026092201_seat_0.json.gz
fertilizer,qeinstein_moev2,2026092201,1,66706.0,58950.0,7756.0,1,0,440,1,144,1578,0.091255,0,344,0,391,0,0,19,15.7317,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\qeinstein_moev2\seed_2026092201_seat_1.json.gz
fertilizer,qeinstein_moev2,2026092202,0,106363.0,96901.0,9462.0,1,0,413,19,91,1515,0.060066,0,367,0,393,0,0,3,15.1194,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\qeinstein_moev2\seed_2026092202_seat_0.json.gz
fertilizer,qeinstein_moev2,2026092202,1,106363.0,96901.0,9462.0,1,0,413,19,91,1515,0.060066,0,367,0,393,0,0,3,14.9954,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\qeinstein_moev2\seed_2026092202_seat_1.json.gz
fertilizer,smart_farm,2026092201,0,93375.0,91681.0,1694.0,1,0,548,19,207,1464,0.141393,0,348,23,374,0,0,8,13.3897,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\smart_farm\seed_2026092201_seat_0.json.gz
fertilizer,smart_farm,2026092201,1,87142.0,86198.0,944.0,1,0,566,43,252,1433,0.175855,0,344,23,374,0,0,8,13.4885,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\smart_farm\seed_2026092201_seat_1.json.gz
fertilizer,smart_farm,2026092202,0,46360.0,48482.0,-2122.0,0,0,457,90,381,1441,0.2644,0,349,3,391,0,0,12,13.8748,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\smart_farm\seed_2026092202_seat_0.json.gz
fertilizer,smart_farm,2026092202,1,46360.0,48482.0,-2122.0,0,0,457,90,381,1441,0.2644,0,349,3,391,0,0,12,13.9432,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\smart_farm\seed_2026092202_seat_1.json.gz
fertilizer,souvik_v4,2026092201,0,90878.0,77059.0,13819.0,1,0,556,28,127,1456,0.087225,0,344,23,374,0,0,8,13.659,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\souvik_v4\seed_2026092201_seat_0.json.gz
fertilizer,souvik_v4,2026092201,1,81425.0,74505.0,6920.0,1,0,621,51,203,1491,0.13615,0,318,22,374,0,0,22,13.8307,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\souvik_v4\seed_2026092201_seat_1.json.gz
fertilizer,souvik_v4,2026092202,0,48101.0,45788.0,2313.0,1,0,457,90,352,1442,0.244105,0,349,3,391,0,0,12,14.1317,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\souvik_v4\seed_2026092202_seat_0.json.gz
fertilizer,souvik_v4,2026092202,1,48101.0,45788.0,2313.0,1,0,457,90,352,1442,0.244105,0,349,3,391,0,0,12,14.2906,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\souvik_v4\seed_2026092202_seat_1.json.gz
joint,mooman_e052a,2026092201,0,76582.0,92281.0,-15699.0,0,0,717,25,42,1351,0.031088,0,245,81,224,4,0,28,47.4875,,,experiments\research_20260920_v126\four_arm_development\replays\joint\mooman_e052a\seed_2026092201_seat_0.json.gz
joint,mooman_e052a,2026092201,1,76582.0,92281.0,-15699.0,0,0,717,25,42,1351,0.031088,0,245,81,224,4,0,28,46.9911,,,experiments\research_20260920_v126\four_arm_development\replays\joint\mooman_e052a\seed_2026092201_seat_1.json.gz
joint,mooman_e052a,2026092202,0,59982.0,58388.0,1594.0,1,0,831,95,196,1452,0.134986,0,250,28,231,7,1,26,46.8304,,,experiments\research_20260920_v126\four_arm_development\replays\joint\mooman_e052a\seed_2026092202_seat_0.json.gz
joint,mooman_e052a,2026092202,1,59982.0,58388.0,1594.0,1,0,831,95,196,1452,0.134986,0,250,28,231,7,1,26,47.3058,,,experiments\research_20260920_v126\four_arm_development\replays\joint\mooman_e052a\seed_2026092202_seat_1.json.gz
joint,qeinstein_moev2,2026092201,0,69206.0,63040.0,6166.0,1,0,668,32,88,1540,0.057143,0,275,10,245,3,0,26,17.7591,,,experiments\research_20260920_v126\four_arm_development\replays\joint\qeinstein_moev2\seed_2026092201_seat_0.json.gz
joint,qeinstein_moev2,2026092201,1,68586.0,63692.0,4894.0,1,0,673,78,75,1487,0.050437,0,273,10,242,3,0,29,17.6241,,,experiments\research_20260920_v126\four_arm_development\replays\joint\qeinstein_moev2\seed_2026092201_seat_1.json.gz
joint,qeinstein_moev2,2026092202,0,105571.0,97543.0,8028.0,1,0,570,44,65,1489,0.043653,0,325,0,295,2,0,3,17.5244,,,experiments\research_20260920_v126\four_arm_development\replays\joint\qeinstein_moev2\seed_2026092202_seat_0.json.gz
joint,qeinstein_moev2,2026092202,1,105571.0,97543.0,8028.0,1,0,570,44,65,1489,0.043653,0,325,0,295,2,0,3,14.759,,,experiments\research_20260920_v126\four_arm_development\replays\joint\qeinstein_moev2\seed_2026092202_seat_1.json.gz
joint,smart_farm,2026092201,0,71927.0,95710.0,-23783.0,0,0,627,35,85,1348,0.063056,0,224,98,207,5,0,31,14.4974,,,experiments\research_20260920_v126\four_arm_development\replays\joint\smart_farm\seed_2026092201_seat_0.json.gz
joint,smart_farm,2026092201,1,82021.0,105412.0,-23391.0,0,0,619,7,25,1379,0.018129,0,224,97,207,5,0,30,15.4317,,,experiments\research_20260920_v126\four_arm_development\replays\joint\smart_farm\seed_2026092201_seat_1.json.gz
joint,smart_farm,2026092202,0,49940.0,48518.0,1422.0,1,0,706,132,250,1419,0.17618,0,265,8,237,4,0,24,15.7909,,,experiments\research_20260920_v126\four_arm_development\replays\joint\smart_farm\seed_2026092202_seat_0.json.gz
joint,smart_farm,2026092202,1,49940.0,48518.0,1422.0,1,0,706,132,250,1419,0.17618,0,265,8,237,4,0,24,15.8982,,,experiments\research_20260920_v126\four_arm_development\replays\joint\smart_farm\seed_2026092202_seat_1.json.gz
joint,souvik_v4,2026092201,0,77793.0,79335.0,-1542.0,0,0,720,3,34,1347,0.025241,0,246,83,226,4,0,21,15.4536,,,experiments\research_20260920_v126\four_arm_development\replays\joint\souvik_v4\seed_2026092201_seat_0.json.gz
joint,souvik_v4,2026092201,1,81631.0,94211.0,-12580.0,0,0,633,39,36,1360,0.026471,0,223,90,206,5,0,38,15.4284,,,experiments\research_20260920_v126\four_arm_development\replays\joint\souvik_v4\seed_2026092201_seat_1.json.gz
joint,souvik_v4,2026092202,0,51629.0,45622.0,6007.0,1,0,707,132,231,1419,0.162791,0,265,8,237,4,0,24,14.8036,,,experiments\research_20260920_v126\four_arm_development\replays\joint\souvik_v4\seed_2026092202_seat_0.json.gz
joint,souvik_v4,2026092202,1,51629.0,45622.0,6007.0,1,0,707,132,231,1419,0.162791,0,265,8,237,4,0,24,14.6909,,,experiments\research_20260920_v126\four_arm_development\replays\joint\souvik_v4\seed_2026092202_seat_1.json.gz
service,mooman_e052a,2026092201,0,75843.0,92135.0,-16292.0,0,0,701,27,61,1365,0.044689,0,245,81,224,4,0,21,33.6549,,,experiments\research_20260920_v126\four_arm_development\replays\service\mooman_e052a\seed_2026092201_seat_0.json.gz
service,mooman_e052a,2026092201,1,75843.0,92135.0,-16292.0,0,0,701,27,61,1365,0.044689,0,245,81,224,4,0,21,32.829,,,experiments\research_20260920_v126\four_arm_development\replays\service\mooman_e052a\seed_2026092201_seat_1.json.gz
service,mooman_e052a,2026092202,0,60190.0,58208.0,1982.0,1,0,801,95,222,1487,0.149294,0,250,28,231,7,1,19,33.7552,,,experiments\research_20260920_v126\four_arm_development\replays\service\mooman_e052a\seed_2026092202_seat_0.json.gz
service,mooman_e052a,2026092202,1,60190.0,58208.0,1982.0,1,0,801,95,222,1487,0.149294,0,250,28,231,7,1,19,33.6994,,,experiments\research_20260920_v126\four_arm_development\replays\service\mooman_e052a\seed_2026092202_seat_1.json.gz
service,qeinstein_moev2,2026092201,0,69718.0,62431.0,7287.0,1,0,669,10,76,1615,0.047059,0,272,14,244,4,0,45,12.5838,,,experiments\research_20260920_v126\four_arm_development\replays\service\qeinstein_moev2\seed_2026092201_seat_0.json.gz
service,qeinstein_moev2,2026092201,1,68774.0,63542.0,5232.0,1,0,662,77,81,1500,0.054,0,273,10,242,3,0,28,14.4147,,,experiments\research_20260920_v126\four_arm_development\replays\service\qeinstein_moev2\seed_2026092201_seat_1.json.gz
service,qeinstein_moev2,2026092202,0,106670.0,97470.0,9200.0,1,0,555,34,66,1505,0.043854,0,330,0,300,2,0,0,14.5032,,,experiments\research_20260920_v126\four_arm_development\replays\service\qeinstein_moev2\seed_2026092202_seat_0.json.gz
service,qeinstein_moev2,2026092202,1,106670.0,97470.0,9200.0,1,0,555,34,66,1505,0.043854,0,330,0,300,2,0,0,14.5462,,,experiments\research_20260920_v126\four_arm_development\replays\service\qeinstein_moev2\seed_2026092202_seat_1.json.gz
service,smart_farm,2026092201,0,71877.0,95701.0,-23824.0,0,0,611,38,96,1352,0.071006,0,224,98,207,5,0,32,11.8214,,,experiments\research_20260920_v126\four_arm_development\replays\service\smart_farm\seed_2026092201_seat_0.json.gz
service,smart_farm,2026092201,1,81852.0,105114.0,-23262.0,0,0,606,13,29,1380,0.021014,0,224,97,207,5,0,32,12.0445,,,experiments\research_20260920_v126\four_arm_development\replays\service\smart_farm\seed_2026092201_seat_1.json.gz
service,smart_farm,2026092202,0,49829.0,48432.0,1397.0,1,0,670,108,287,1475,0.194576,0,265,8,237,4,0,23,12.2299,,,experiments\research_20260920_v126\four_arm_development\replays\service\smart_farm\seed_2026092202_seat_0.json.gz
service,smart_farm,2026092202,1,49829.0,48432.0,1397.0,1,0,670,108,287,1475,0.194576,0,265,8,237,4,0,23,12.2708,,,experiments\research_20260920_v126\four_arm_development\replays\service\smart_farm\seed_2026092202_seat_1.json.gz
service,souvik_v4,2026092201,0,77937.0,78939.0,-1002.0,0,0,703,0,52,1370,0.037956,0,246,83,226,4,0,14,12.7891,,,experiments\research_20260920_v126\four_arm_development\replays\service\souvik_v4\seed_2026092201_seat_0.json.gz
service,souvik_v4,2026092201,1,83238.0,92727.0,-9489.0,0,0,623,10,37,1414,0.026167,0,223,89,206,5,0,42,12.6865,,,experiments\research_20260920_v126\four_arm_development\replays\service\souvik_v4\seed_2026092201_seat_1.json.gz
service,souvik_v4,2026092202,0,51496.0,45562.0,5934.0,1,0,670,108,274,1476,0.185637,0,265,8,237,4,0,23,12.7796,,,experiments\research_20260920_v126\four_arm_development\replays\service\souvik_v4\seed_2026092202_seat_0.json.gz
service,souvik_v4,2026092202,1,51496.0,45562.0,5934.0,1,0,670,108,274,1476,0.185637,0,265,8,237,4,0,23,12.8399,,,experiments\research_20260920_v126\four_arm_development\replays\service\souvik_v4\seed_2026092202_seat_1.json.gz
